macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,win_rate,net_return
8.0,21.0,7.0,10.0,5.0,14.0,8.0,34.0,89.0,14.0,14.0,60.0,20.0,14.0,2.0,20.0,7.0,120.0,0.0,71.42857142857143,3.214493641099269
8.0,21.0,7.0,10.0,5.0,14.0,12.0,21.0,55.0,7.0,14.0,60.0,20.0,14.0,1.5,14.0,14.0,60.0,50.0,73.33333333333333,0.7348153561257721
8.0,21.0,7.0,10.0,5.0,14.0,12.0,21.0,55.0,14.0,14.0,60.0,10.0,14.0,2.0,20.0,7.0,60.0,0.0,70.37037037037037,4.971960545612941
8.0,21.0,7.0,10.0,5.0,14.0,12.0,21.0,89.0,7.0,14.0,60.0,20.0,14.0,1.5,14.0,7.0,120.0,0.0,70.45454545454545,5.764950924981652
8.0,21.0,7.0,10.0,5.0,14.0,12.0,21.0,89.0,14.0,14.0,60.0,10.0,20.0,1.5,20.0,7.0,120.0,0.0,66.66666666666666,0.846926019199458
8.0,21.0,7.0,10.0,5.0,14.0,12.0,34.0,55.0,7.0,14.0,60.0,20.0,20.0,1.5,20.0,7.0,60.0,0.0,66.66666666666666,1.1429350457391017
8.0,21.0,7.0,10.0,5.0,14.0,12.0,34.0,55.0,14.0,14.0,100.0,10.0,14.0,2.0,20.0,7.0,120.0,50.0,78.26086956521739,2.6118517625309834
8.0,21.0,7.0,10.0,5.0,14.0,12.0,34.0,89.0,7.0,14.0,60.0,20.0,14.0,1.5,20.0,14.0,60.0,50.0,65.21739130434783,4.867084012164533
8.0,21.0,7.0,10.0,5.0,14.0,12.0,34.0,89.0,14.0,14.0,60.0,10.0,20.0,1.5,14.0,14.0,60.0,0.0,87.5,-0.8413965467840128
8.0,21.0,7.0,10.0,5.0,20.0,8.0,21.0,55.0,7.0,14.0,100.0,10.0,20.0,2.0,14.0,7.0,120.0,50.0,68.42105263157895,4.8631316188645775
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,89.0,14.0,7.0,60.0,10.0,20.0,1.5,14.0,7.0,120.0,50.0,86.66666666666667,8.61081653709548
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,55.0,7.0,14.0,100.0,10.0,14.0,1.5,20.0,14.0,120.0,0.0,67.5,-4.101396913867581
8.0,21.0,7.0,10.0,5.0,20.0,8.0,21.0,55.0,14.0,14.0,100.0,10.0,14.0,2.0,14.0,14.0,120.0,50.0,76.92307692307693,5.655700185691407
8.0,21.0,7.0,10.0,5.0,20.0,8.0,21.0,89.0,7.0,14.0,60.0,20.0,20.0,2.0,20.0,7.0,60.0,50.0,65.11627906976744,5.061485048840519
8.0,21.0,7.0,10.0,5.0,20.0,8.0,21.0,89.0,14.0,14.0,60.0,20.0,14.0,2.0,14.0,7.0,120.0,0.0,68.57142857142857,1.4009992110883762
8.0,21.0,7.0,10.0,5.0,20.0,8.0,34.0,55.0,7.0,14.0,60.0,20.0,20.0,2.0,20.0,14.0,120.0,50.0,70.96774193548387,-0.6525382630729523
8.0,21.0,7.0,10.0,5.0,20.0,8.0,34.0,55.0,14.0,14.0,100.0,10.0,14.0,2.0,20.0,7.0,120.0,0.0,69.6969696969697,1.3007616327524325
8.0,21.0,7.0,10.0,5.0,20.0,8.0,34.0,89.0,7.0,14.0,100.0,10.0,14.0,1.5,14.0,14.0,120.0,0.0,77.27272727272727,1.7349200582044817
8.0,21.0,7.0,10.0,5.0,20.0,8.0,34.0,89.0,14.0,14.0,100.0,20.0,14.0,2.0,14.0,7.0,60.0,50.0,66.66666666666666,-1.9587860498093903
8.0,21.0,7.0,10.0,5.0,20.0,12.0,21.0,55.0,7.0,14.0,100.0,10.0,20.0,2.0,14.0,14.0,60.0,50.0,66.66666666666666,6.470905484672343
8.0,21.0,7.0,10.0,5.0,20.0,12.0,21.0,55.0,14.0,14.0,100.0,20.0,14.0,1.5,14.0,7.0,60.0,0.0,65.95744680851064,8.95084294376724
8.0,21.0,7.0,10.0,5.0,20.0,12.0,21.0,89.0,7.0,14.0,100.0,10.0,20.0,2.0,20.0,14.0,120.0,50.0,72.72727272727273,8.399509990788323
8.0,21.0,7.0,10.0,3.0,14.0,8.0,34.0,55.0,7.0,7.0,60.0,10.0,14.0,2.0,20.0,7.0,120.0,50.0,76.0,3.2721404754025043
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,55.0,14.0,7.0,60.0,10.0,14.0,2.0,14.0,14.0,120.0,0.0,67.85714285714286,-1.1912850703741285
8.0,21.0,7.0,10.0,5.0,20.0,12.0,21.0,89.0,14.0,14.0,100.0,20.0,20.0,1.5,14.0,14.0,60.0,0.0,65.11627906976744,14.989633329138924
8.0,21.0,7.0,10.0,5.0,20.0,12.0,34.0,55.0,14.0,14.0,100.0,10.0,20.0,1.5,14.0,14.0,60.0,50.0,65.21739130434783,-2.247943616698497
8.0,21.0,7.0,10.0,5.0,20.0,12.0,34.0,89.0,7.0,14.0,100.0,20.0,14.0,1.5,14.0,7.0,120.0,0.0,83.33333333333334,3.421983983782225
8.0,21.0,7.0,14.0,3.0,14.0,8.0,21.0,55.0,7.0,14.0,100.0,20.0,14.0,2.0,20.0,7.0,120.0,0.0,72.72727272727273,5.737832758086612
8.0,21.0,7.0,10.0,3.0,14.0,8.0,34.0,55.0,14.0,7.0,60.0,10.0,14.0,2.0,14.0,7.0,120.0,50.0,76.92307692307693,0.269349613043831
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,55.0,14.0,7.0,100.0,20.0,14.0,1.5,14.0,7.0,60.0,50.0,80.0,4.012410334671943
8.0,21.0,7.0,10.0,3.0,14.0,8.0,34.0,89.0,7.0,7.0,60.0,20.0,14.0,1.5,14.0,7.0,60.0,0.0,66.66666666666666,-0.5745741199314993
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,55.0,14.0,14.0,60.0,20.0,20.0,1.5,20.0,7.0,60.0,50.0,77.41935483870968,8.214776445875263
8.0,21.0,7.0,10.0,3.0,14.0,8.0,34.0,89.0,14.0,7.0,60.0,10.0,20.0,1.5,20.0,7.0,60.0,0.0,65.38461538461539,-14.384539013255916
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,55.0,14.0,14.0,100.0,10.0,20.0,2.0,14.0,7.0,120.0,50.0,84.61538461538461,3.965944942554244
8.0,21.0,7.0,10.0,3.0,14.0,12.0,21.0,55.0,7.0,7.0,60.0,10.0,20.0,2.0,14.0,14.0,120.0,50.0,77.77777777777779,6.590878544603858
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,89.0,7.0,7.0,60.0,20.0,20.0,1.5,20.0,7.0,120.0,0.0,76.92307692307693,-10.659637007641088
