symbol_id,lookback,candle_interval,macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,type,side,win_rate,net_return,max_drawdown,calmar_ratio,run_timestamp
1,YTD,15m,8,26,7,10,5,20,8,21,55,14,7,100,20,20,1.5,20,7,120,0,,,68.42105263157895,21.445899271086617,-0.0120068650363783,145.87148305905865,2026-04-25 16:05:11.481640
1,YTD,15m,8,26,7,10,5,20,8,21,89,7,14,60,10,14,2.0,14,7,60,50,,,66.66666666666666,21.189091089767157,-0.024003667318243,51.1425818033396,2026-04-25 16:05:18.649972
1,YTD,15m,8,26,7,10,5,20,12,34,55,14,7,60,10,20,2.0,20,14,120,50,,,71.42857142857143,23.23045727918429,-0.0302603068628929,36.18748125326817,2026-04-25 16:06:34.632983
1,YTD,15m,8,26,7,10,5,20,12,34,89,14,7,100,20,14,2.0,14,7,60,0,,,67.44186046511628,21.313194491759667,-0.0201909446247087,55.27599317067576,2026-04-25 16:06:50.394190
1,YTD,15m,8,26,7,14,3,14,8,21,55,7,7,60,20,14,1.5,20,7,120,50,,,73.68421052631578,22.4291218640376,-0.0205327802291685,61.369228517752376,2026-04-25 16:06:55.826019
1,YTD,15m,8,26,7,14,3,14,8,21,55,14,7,100,10,14,1.5,14,7,60,0,,,66.66666666666666,20.333783853955957,-0.011353316753652,111.83115843956132,2026-04-25 16:07:04.494393
1,YTD,15m,8,26,7,14,3,14,8,21,55,14,14,100,20,14,1.5,20,14,120,0,,,73.33333333333333,21.0280322323654,-0.0424045770423633,25.882887648317396,2026-04-25 16:07:08.988684
1,YTD,15m,8,26,7,14,3,14,8,21,89,14,14,100,10,20,2.0,20,14,120,0,,,65.11627906976744,21.278633877049952,-0.0050629653918851,381.69077660125663,2026-04-25 16:07:24.783926
1,YTD,15m,8,26,7,14,3,14,8,34,89,14,7,100,20,20,2.0,20,14,60,50,,,76.47058823529412,21.21285606859716,-0.0213298002186203,65.04899652920766,2026-04-25 16:07:51.482943
1,YTD,15m,8,26,7,14,3,14,12,21,55,14,14,60,10,20,2.0,14,14,60,0,,,71.42857142857143,22.120763934945646,-0.0224228951918836,56.00234380622116,2026-04-25 16:08:05.081040
