trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
28,28.6,0.271,-18.59,-19.02,-0.978,5,19,4,2.0,1.0,20
29,17.2,0.242,-18.61,-18.61,-1.0,1,23,5,4.0,0.5,15
29,20.7,0.304,-18.73,-18.73,-1.0,3,22,4,3.0,0.7,15
30,16.7,0.26,-18.86,-18.86,-1.0,2,24,4,3.0,0.5,15
28,25.0,0.278,-18.88,-18.88,-1.0,6,19,3,2.0,1.0,50
30,16.7,0.247,-18.9,-18.9,-1.0,1,22,7,4.0,0.5,10
29,17.2,0.227,-18.92,-18.92,-1.0,0,24,5,6.0,0.5,15
29,17.2,0.227,-18.92,-18.92,-1.0,0,24,5,5.0,0.5,15
34,20.6,0.198,-18.97,-18.97,-1.0,5,12,17,1.5,1.0,5
30,33.3,0.294,-19.02,-21.27,-0.894,10,20,0,1.5,1.0,0
27,18.5,0.285,-19.19,-19.65,-0.976,3,19,5,3.0,1.0,25
30,16.7,0.233,-19.2,-19.2,-1.0,0,23,7,6.0,0.5,10
30,16.7,0.233,-19.2,-19.2,-1.0,0,23,7,5.0,0.5,10
27,22.2,0.276,-19.35,-19.76,-0.979,3,19,5,3.0,1.0,20
26,19.2,0.252,-19.36,-19.78,-0.979,1,19,6,4.0,1.0,20
28,21.4,0.264,-19.36,-19.36,-1.0,6,19,3,2.0,1.0,30
31,12.9,0.32,-19.4,-20.54,-0.945,3,28,0,3.0,0.5,0
26,19.2,0.24,-19.63,-20.05,-0.979,0,20,6,5.0,1.0,20
26,19.2,0.24,-19.63,-20.05,-0.979,0,20,6,6.0,1.0,20
27,18.5,0.285,-19.66,-19.66,-1.0,3,21,3,3.0,1.0,50
30,16.7,0.224,-19.66,-19.66,-1.0,2,24,4,2.5,0.5,15
30,16.7,0.352,-19.67,-20.68,-0.951,4,26,0,3.0,0.7,0
30,16.7,0.205,-19.79,-19.79,-1.0,1,22,7,3.0,0.5,10
30,30.0,0.259,-19.8,-21.27,-0.931,9,20,1,1.5,1.0,50
29,20.7,0.257,-19.86,-19.86,-1.0,3,22,4,2.5,0.7,15
26,15.4,0.254,-19.91,-20.37,-0.977,1,20,5,4.0,1.0,25
29,17.2,0.236,-19.97,-19.97,-1.0,1,19,9,4.0,0.7,10
30,10.0,0.293,-20.07,-21.17,-0.948,1,29,0,4.0,0.5,0
27,14.8,0.271,-20.14,-20.14,-1.0,3,21,3,3.0,1.0,30
26,15.4,0.243,-20.18,-20.63,-0.978,0,21,5,5.0,1.0,25
26,15.4,0.243,-20.18,-20.63,-0.978,0,21,5,6.0,1.0,25
29,13.8,0.332,-20.2,-21.17,-0.954,1,28,0,4.0,0.7,0
30,16.7,0.184,-20.24,-20.24,-1.0,1,22,7,2.5,0.5,10
29,17.2,0.222,-20.27,-20.27,-1.0,0,20,9,6.0,0.7,10
29,17.2,0.222,-20.27,-20.27,-1.0,0,20,9,5.0,0.7,10
27,18.5,0.24,-20.28,-20.74,-0.978,3,19,5,2.5,1.0,25
30,16.7,0.193,-20.33,-20.33,-1.0,3,24,3,2.0,0.5,15
30,10.0,0.281,-20.37,-21.47,-0.949,0,30,0,5.0,0.5,0
30,10.0,0.281,-20.37,-21.47,-0.949,0,30,0,6.0,0.5,0
31,16.1,0.25,-20.38,-20.72,-0.984,5,26,0,2.0,0.5,0
26,15.4,0.255,-20.38,-20.38,-1.0,1,22,3,4.0,1.0,50
27,22.2,0.23,-20.44,-20.85,-0.98,3,19,5,2.5,1.0,20
29,13.8,0.32,-20.5,-21.47,-0.955,0,29,0,5.0,0.7,0
29,13.8,0.32,-20.5,-21.47,-0.955,0,29,0,6.0,0.7,0
30,16.7,0.168,-20.57,-20.57,-1.0,2,22,6,2.0,0.5,10
31,12.9,0.271,-20.59,-21.32,-0.966,3,28,0,2.5,0.5,0
26,15.4,0.244,-20.64,-20.64,-1.0,0,23,3,6.0,1.0,50
26,15.4,0.244,-20.64,-20.64,-1.0,0,23,3,5.0,1.0,50
27,18.5,0.241,-20.75,-20.75,-1.0,3,21,3,2.5,1.0,50
34,5.9,0.215,-20.82,-20.82,-1.0,1,33,0,4.0,0.3,30
34,5.9,0.215,-20.82,-20.82,-1.0,1,33,0,4.0,0.3,50
34,5.9,0.215,-20.82,-20.82,-1.0,1,33,0,4.0,0.3,0
29,17.2,0.196,-20.85,-20.85,-1.0,1,19,9,3.0,0.7,10
26,11.5,0.241,-20.86,-20.86,-1.0,1,22,3,4.0,1.0,30
29,20.7,0.215,-20.86,-20.86,-1.0,4,22,3,2.0,0.7,15
30,26.7,0.226,-20.88,-21.3,-0.98,8,20,2,1.5,1.0,25
35,14.3,0.207,-20.9,-20.9,-1.0,1,21,13,4.0,0.5,5
32,21.9,0.18,-21.11,-21.11,-1.0,6,17,9,1.5,1.0,10
30,26.7,0.224,-21.11,-21.54,-0.98,8,20,2,1.5,1.0,30
34,5.9,0.202,-21.12,-21.12,-1.0,0,34,0,5.0,0.3,30
34,5.9,0.202,-21.12,-21.12,-1.0,0,34,0,5.0,0.3,50
34,5.9,0.202,-21.12,-21.12,-1.0,0,34,0,6.0,0.3,30
34,5.9,0.202,-21.12,-21.12,-1.0,0,34,0,6.0,0.3,50
34,5.9,0.202,-21.12,-21.12,-1.0,0,34,0,6.0,0.3,0
34,5.9,0.202,-21.12,-21.12,-1.0,0,34,0,5.0,0.3,0
26,11.5,0.23,-21.12,-21.12,-1.0,0,23,3,6.0,1.0,30
26,11.5,0.23,-21.12,-21.12,-1.0,0,23,3,5.0,1.0,30
30,16.7,0.295,-21.17,-21.78,-0.972,4,26,0,2.5,0.7,0
30,20.0,0.265,-21.17,-21.39,-0.99,6,24,0,2.0,0.7,0
35,14.3,0.194,-21.2,-21.2,-1.0,0,22,13,6.0,0.5,5
35,14.3,0.194,-21.2,-21.2,-1.0,0,22,13,5.0,0.5,5
27,14.8,0.227,-21.22,-21.22,-1.0,3,21,3,2.5,1.0,30
29,17.2,0.176,-21.3,-21.3,-1.0,1,19,9,2.5,0.7,10
34,5.9,0.192,-21.34,-21.34,-1.0,1,32,1,4.0,0.3,25
31,9.7,0.234,-21.37,-21.37,-1.0,2,28,1,3.0,0.5,50
37,8.1,0.181,-21.37,-21.37,-1.0,1,30,6,4.0,0.3,5
35,8.6,0.19,-21.39,-21.39,-1.0,1,31,3,4.0,0.3,10
31,12.9,0.197,-21.55,-21.55,-1.0,4,26,1,2.0,0.5,50
34,5.9,0.181,-21.58,-21.58,-1.0,1,32,1,4.0,0.3,20
31,9.7,0.232,-21.6,-21.6,-1.0,2,28,1,3.0,0.5,30
29,17.2,0.16,-21.62,-21.62,-1.0,2,19,8,2.0,0.7,10
30,13.3,0.272,-21.63,-21.63,-1.0,3,26,1,3.0,0.7,50
34,5.9,0.179,-21.64,-21.64,-1.0,0,33,1,6.0,0.3,25
34,5.9,0.179,-21.64,-21.64,-1.0,0,33,1,5.0,0.3,25
37,8.1,0.168,-21.66,-21.66,-1.0,0,31,6,5.0,0.3,5
36,30.6,0.177,-21.66,-21.66,-1.0,11,25,0,1.0,0.5,0
37,8.1,0.168,-21.66,-21.66,-1.0,0,31,6,6.0,0.3,5
35,8.6,0.177,-21.69,-21.69,-1.0,0,32,3,5.0,0.3,10
35,8.6,0.177,-21.69,-21.69,-1.0,0,32,3,6.0,0.3,10
34,5.9,0.177,-21.7,-21.7,-1.0,1,33,0,3.0,0.3,50
34,5.9,0.177,-21.7,-21.7,-1.0,1,33,0,3.0,0.3,0
34,5.9,0.177,-21.7,-21.7,-1.0,1,33,0,3.0,0.3,30
35,14.3,0.169,-21.77,-21.77,-1.0,1,21,13,3.0,0.5,5
31,12.9,0.195,-21.78,-21.78,-1.0,4,26,1,2.0,0.5,30
36,30.6,0.17,-21.8,-21.8,-1.0,10,25,1,1.0,0.5,20
36,27.8,0.16,-21.81,-21.81,-1.0,9,24,3,1.0,0.5,10
30,13.3,0.269,-21.86,-21.86,-1.0,3,26,1,3.0,0.7,30
34,5.9,0.168,-21.87,-21.87,-1.0,0,33,1,6.0,0.3,20
34,5.9,0.168,-21.87,-21.87,-1.0,0,33,1,5.0,0.3,20
31,29.0,0.215,-21.91,-22.51,-0.973,7,21,3,1.5,1.0,20
31,16.1,0.176,-21.96,-21.96,-1.0,3,26,2,2.0,0.5,20
30,6.7,0.209,-21.99,-21.99,-1.0,1,28,1,4.0,0.5,50
36,27.8,0.161,-22.03,-22.03,-1.0,10,25,1,1.0,0.5,50
36,27.8,0.161,-22.03,-22.03,-1.0,10,25,1,1.0,0.5,15
31,12.9,0.208,-22.08,-22.08,-1.0,2,26,3,3.0,0.5,20
29,10.3,0.253,-22.11,-22.11,-1.0,1,27,1,4.0,0.7,50
31,9.7,0.209,-22.12,-22.12,-1.0,2,27,2,3.0,0.5,25
34,5.9,0.158,-22.13,-22.13,-1.0,1,33,0,2.5,0.3,30
34,5.9,0.158,-22.13,-22.13,-1.0,1,33,0,2.5,0.3,0
34,5.9,0.158,-22.13,-22.13,-1.0,1,33,0,2.5,0.3,50
31,9.7,0.203,-22.14,-22.14,-1.0,2,28,1,2.5,0.5,50
31,12.9,0.176,-22.19,-22.19,-1.0,3,26,2,2.0,0.5,25
35,14.3,0.149,-22.21,-22.21,-1.0,1,21,13,2.5,0.5,5
34,5.9,0.153,-22.21,-22.21,-1.0,1,32,1,3.0,0.3,25
30,6.7,0.207,-22.22,-22.22,-1.0,1,28,1,4.0,0.5,30
30,16.7,0.248,-22.22,-22.22,-1.0,3,24,3,3.0,0.7,20
29,13.8,0.233,-22.22,-22.22,-1.0,1,24,4,4.0,0.7,20
37,8.1,0.143,-22.24,-22.24,-1.0,1,30,6,3.0,0.3,5
35,8.6,0.152,-22.26,-22.26,-1.0,1,31,3,3.0,0.3,10
36,27.8,0.159,-22.27,-22.27,-1.0,10,25,1,1.0,0.5,25
36,27.8,0.159,-22.27,-22.27,-1.0,10,25,1,1.0,0.5,30
