macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,win_rate
8,40,9,21,3,14,68.18181818181817
8,40,9,21,5,34,65.0
8,40,12,10,5,20,82.6086956521739
8,40,12,21,3,34,75.0
12,21,7,10,3,14,65.0
12,21,9,10,5,34,66.66666666666666
12,21,9,14,5,14,82.6086956521739
12,21,9,14,7,14,82.6086956521739
12,21,9,10,7,20,71.42857142857143
12,21,12,14,3,14,75.0
12,21,12,14,5,20,65.0
12,21,12,21,5,34,82.6086956521739
12,26,7,10,3,14,75.0
12,26,7,10,7,34,65.0
12,26,7,14,3,34,66.66666666666666
12,26,7,14,7,14,66.66666666666666
12,26,7,14,5,34,71.42857142857143
12,26,7,14,7,34,75.0
12,26,7,14,7,20,71.42857142857143
12,26,9,10,5,14,73.33333333333333
12,26,9,10,5,34,81.81818181818183
12,26,9,10,3,20,73.33333333333333
12,26,9,14,3,14,73.33333333333333
12,26,9,14,3,20,81.81818181818183
12,26,9,14,3,34,81.81818181818183
12,26,9,14,7,14,65.0
12,26,9,21,7,34,66.66666666666666
12,26,12,10,3,20,71.42857142857143
12,26,12,21,7,34,73.33333333333333
12,32,7,10,3,14,81.81818181818183
12,32,7,21,7,20,65.0
12,32,9,10,3,20,65.0
12,32,9,14,7,20,65.625
12,32,9,21,5,20,70.83333333333334
12,32,9,21,3,34,65.625
12,32,12,10,5,14,70.83333333333334
12,32,12,21,5,14,65.0
12,32,12,21,3,20,72.5
12,40,7,10,3,20,72.5
12,40,7,14,3,34,65.625
12,40,7,14,5,20,72.72727272727273
12,40,7,21,3,14,65.0
12,40,7,10,5,20,72.72727272727273
12,40,7,21,5,34,70.83333333333334
12,40,9,21,5,20,65.625
12,40,9,14,5,20,66.66666666666666
12,40,9,21,7,14,70.83333333333334
12,40,12,10,7,20,66.66666666666666
12,40,9,21,5,14,72.5
12,40,12,14,7,34,72.72727272727273
12,40,12,21,5,34,67.74193548387096
12,40,12,21,7,20,72.5
16,21,7,10,5,20,72.72727272727273
16,21,7,10,7,14,67.74193548387096
16,21,9,10,3,14,67.3469387755102
16,21,9,10,3,20,66.66666666666666
16,21,9,10,7,20,66.66666666666666
16,21,9,14,3,20,66.66666666666666
16,21,9,14,5,34,67.74193548387096
16,21,9,21,7,34,67.3469387755102
16,21,12,10,3,14,66.66666666666666
16,21,12,10,5,14,71.42857142857143
16,21,12,10,3,20,67.74193548387096
16,21,12,21,5,14,71.42857142857143
16,21,12,21,7,14,67.3469387755102
16,21,12,14,7,34,67.3469387755102
16,26,7,10,5,14,66.66666666666666
16,26,7,14,5,14,70.37037037037037
16,26,7,14,7,20,66.66666666666666
16,26,7,14,3,14,70.37037037037037
16,26,9,10,5,34,71.42857142857143
16,26,9,21,3,14,71.42857142857143
16,26,9,21,3,34,66.66666666666666
16,26,12,10,7,14,75.0
16,26,12,14,3,20,66.66666666666666
16,26,12,14,5,14,65.95744680851064
16,26,12,21,3,34,70.37037037037037
16,32,7,21,5,34,66.66666666666666
16,32,7,21,7,20,75.0
16,32,9,10,3,20,65.95744680851064
16,32,9,14,5,20,76.92307692307693
16,32,9,21,7,14,70.0
16,32,9,21,7,20,73.68421052631578
16,32,12,10,3,34,75.0
16,32,9,14,5,14,70.37037037037037
16,32,12,14,5,14,65.78947368421053
16,32,12,10,7,14,75.0
16,40,7,10,3,34,65.95744680851064
16,40,7,21,5,34,66.66666666666666
16,40,9,10,7,34,76.92307692307693
16,40,9,14,7,20,70.0
16,40,9,21,5,34,73.68421052631578
16,40,12,10,3,20,75.0
16,40,12,10,7,20,65.78947368421053
16,40,12,10,7,14,75.0
16,40,12,14,7,34,65.95744680851064
20,21,7,10,5,14,76.92307692307693
20,21,7,21,5,20,70.0
20,21,7,21,5,34,73.68421052631578
20,21,7,21,7,20,75.0
20,21,9,14,3,34,65.78947368421053
20,21,9,14,5,14,68.18181818181817
20,21,9,21,3,34,65.51724137931035
20,21,12,10,7,20,76.92307692307693
20,21,12,14,3,34,71.7948717948718
20,21,12,21,7,20,69.23076923076923
20,26,7,14,3,14,76.47058823529412
20,26,7,10,7,34,68.18181818181817
20,26,7,14,3,20,68.29268292682927
20,26,7,14,5,20,65.51724137931035
