entry_idx,exit_idx,entry,exit,qty,pnl,exit_type,equity
9130,9172,77425.769,76442.93496071428,0.5565058960776583,546.9529377283245,trailing_stop,26882.99423824412
9195,9294,75892.42,76359.328,0.11600357356435159,-54.16299652578379,max_bars_exit,26828.831241718333
9254,9353,75642.35,78067.95,0.0622376542232733,-150.96365408397116,max_bars_exit,26677.867587634362
9628,9674,78161.6675,77148.02048214286,0.8596345391785744,871.3659870853523,trailing_stop,27549.233574719714
9637,9674,78010.8,77148.27112142858,0.8736014401258864,753.50647047016,trailing_stop,28302.740045189876
9641,9674,78090.075,77150.2687355303,0.7965765496587033,748.6276314989013,trailing_stop,29051.367676688777
9669,9692,77708.111,76642.64456176363,0.6794032682851107,723.8813803858857,trailing_stop,29775.249057074663
9676,9708,77118.002,74965.66667204043,0.3431658827220774,738.6080527331548,trailing_stop,30513.857109807817
9688,9701,77272.2455,75704.25034896533,0.3334365548306448,522.8269011521579,trailing_stop,31036.684010959976
9775,9825,75644.34,76654.2892857143,0.6146186635303914,-620.7336802191995,stop_loss,30415.950330740776
9893,9948,76143.571,74968.27954285714,0.8585749658047999,1009.0758226271006,trailing_stop,31425.026153367875
9895,9948,76045.4145,74968.136025,0.8943049443103258,963.415466591587,trailing_stop,32388.441619959463
9900,9948,76033.91,74966.45474285714,1.0192581366981854,1088.012456404119,trailing_stop,33476.45407636358
9906,9948,76000.2565,74965.36841428571,1.1308150226444715,1170.266994081503,trailing_stop,34646.721070445084
9914,9948,75885.5,74964.57980357143,1.236208182240701,1138.4490820157177,trailing_stop,35785.1701524608
9919,9948,75749.445,74969.27115714285,0.9565844986933205,746.3022043631532,trailing_stop,36531.47235682395
9954,9976,75197.9395,73655.37730263898,0.4963946557427674,765.7196309208257,trailing_stop,37297.19198774477
9958,9983,75098.2995,73030.35499171358,0.3786133211089911,782.9513381514178,trailing_stop,38080.14332589619
9961,10048,74234.65,72065.72940548908,0.30024836653599424,651.2148656481793,trailing_stop,38731.35819154437
9967,10066,74788.368,73281.915,0.21429458185940206,322.82471572584365,max_bars_exit,39054.18290727022
9987,10086,73018.64,72811.895,0.21321423610751594,44.08097724404739,max_bars_exit,39098.263884514265
9991,10090,72343.26,72478.45,0.19925193737727284,-26.93686941403398,max_bars_exit,39071.32701510023
10072,10114,72627.4405,71244.85225163266,0.48296127217196855,667.7365793215013,trailing_stop,39739.06359442173
10089,10106,72701.5465,71325.73376532653,0.5720770473912186,787.0708870152362,trailing_stop,40526.134481436966
10092,10117,72361.2935,71079.1966767794,0.5485429977657502,703.2852348353769,trailing_stop,41229.41971627234
10094,10132,72015.6,70606.4325117551,0.5234882033666745,737.6825566640524,trailing_stop,41967.1022729364
10096,10135,71872.73,70189.68784285714,0.48041637965270073,808.5610199374445,trailing_stop,42775.66329287384
10123,10222,70899.615,69344.782,0.3392505781783597,527.4779942207931,max_bars_exit,43303.14128709463
10134,10233,70146.01,69299.945,0.2860915510286313,242.05204812103545,max_bars_exit,43545.19333521566
10165,10219,70592.1535,69132.23543732673,0.5809010386572927,848.0679189614453,trailing_stop,44393.26125417711
10167,10219,70734.6845,69132.81698018388,0.5831661451976143,934.1549066484308,trailing_stop,45327.41616082554
10177,10219,70904.825,69124.66498429014,0.7577230366502311,1348.868252826997,trailing_stop,46676.28441365254
10216,10256,69800.9,66778.14185139337,0.2769223318262318,837.0692350588884,trailing_stop,47513.353648711425
10221,10287,69343.372,66120.52807550419,0.27332454118541705,880.8823369750271,trailing_stop,48394.23598568645
10222,10287,69213.8175,66116.87637422269,0.29060103808824894,899.9743060490787,trailing_stop,49294.21029173553
10250,10293,68852.3125,65542.30887246305,0.26860732356747086,889.0912153913197,trailing_stop,50183.30150712685
10251,10311,68499.1295,65170.59380234693,0.25642764445202415,853.528568423651,trailing_stop,51036.830075550504
10280,10360,66611.505,61448.01289865761,0.1881293845112333,971.4045909541595,trailing_stop,52008.234666504664
10283,10321,66704.43,62524.00027463718,0.2507683257836013,1048.3193632852322,trailing_stop,53056.5540297899
10325,10424,62845.0038866995,65769.602,0.11399761775907281,-333.3972178189356,max_bars_exit,52723.15681197096
10328,10427,63401.096,66730.68,0.11474516136853893,-382.05365337010477,max_bars_exit,52341.10315860086
10353,10452,63603.29,64760.9875,0.26315095759519996,-304.6492057305695,max_bars_exit,52036.45395287029
10749,10848,68318.6,68903.2415,0.4765373119044409,-278.6034888377792,max_bars_exit,51757.85046403251
10767,10793,67980.2,69100.58498451786,0.9239297416379701,-1035.1570092806503,stop_loss,50722.69345475186
10782,10791,67859.827,68693.50485714286,1.216841565843821,-1014.4538690950372,stop_loss,49708.239585656826
11333,11352,69765.7665,68400.802025,1.0607354903521367,1447.8662617023724,trailing_stop,51156.1058473592
11339,11352,69706.585,68396.62070357143,1.3287504832876507,1740.615691969035,trailing_stop,52896.72153932823
11340,11352,69561.547,68397.15732857143,1.3366987551119391,1556.438224263783,trailing_stop,54453.15976359201
11344,11352,69461.9935,68398.61455357143,1.281639617884548,1362.8685865671798,trailing_stop,55816.02835015919
11396,11423,68686.404,70076.70636664313,0.8029336594589275,-1116.320567003184,stop_loss,54699.70778315601
11583,11667,69330.295,68458.7997765482,1.110213191423022,967.5454933383411,trailing_stop,55667.25327649435
11606,11688,68812.2,67976.359,1.6813837524614612,1405.3694770411407,trailing_stop,57072.62275353549
11607,11688,68892.5465,67975.92391071428,1.7703622709118108,1622.7540487369283,trailing_stop,58695.37680227242
11608,11681,68791.246,69387.71985714286,1.9680787715802393,-1173.9075360454483,stop_loss,57521.469266226966
11627,11688,68965.883,67985.21883369106,1.1316960275547028,1109.8137413770712,trailing_stop,58631.28300760404
11633,11688,68976.705,67981.98160357142,1.3219175519542006,1314.9423170784419,trailing_stop,59946.225324682484
11642,11681,68811.65,69255.41100000001,2.7017347321950647,-1198.9245064936497,stop_loss,58747.300818188836
11652,11720,68490.05,69746.7947332863,0.9349122262015616,-1174.9460163637768,stop_loss,57572.35480182506
11662,11761,68527.7595,68882.6165,0.8256058207805153,-292.9720047447143,max_bars_exit,57279.38279708035
11686,11785,68198.6065,68660.215,0.5360397948796676,-247.44052565471216,max_bars_exit,57031.942271425636
11687,11786,67959.805,68587.1045,0.5180839714325973,-324.9938162376869,max_bars_exit,56706.94845518795
11692,11791,68597.975,68594.1345,0.36842151163115555,1.4149228154215545,max_bars_exit,56708.36337800337
11750,11838,68971.845,68094.49888214286,1.4213418820138837,1247.0087823326492,trailing_stop,57955.37216033602
11756,11854,68652.625,67452.78048928571,1.5168792280182086,1820.0192151541785,trailing_stop,59775.391375490195
11759,11838,68827.703,68091.80424642857,1.7321936261588622,1274.7191304346752,trailing_stop,61050.11050592487
11764,11838,68778.8705,68092.34630357144,1.7152469404921595,1177.5585274979378,trailing_stop,62227.66903342281
11767,11849,68608.425,68005.31054285714,1.7965619147848084,1083.5324639589758,trailing_stop,63311.201497381786
11785,11810,68660.5,69174.63642857142,2.462817181552299,-1266.2240299476357,stop_loss,62044.97746743415
11787,11803,68587.1045,69092.99535714285,2.452899734849908,-1240.899549348683,stop_loss,60804.07791808547
11848,11874,67987.992,66872.20203401259,1.434868329028025,1601.0116840425908,trailing_stop,62405.089602128064
11850,11874,67802.7,66875.95219250376,1.2511951215531971,1159.5423356494193,trailing_stop,63564.631937777485
11863,11962,67537.711,67219.838,0.9180409841463746,291.8204417535535,max_bars_exit,63856.45237953104
11866,11965,67393.84,67853.55,1.1850777456675767,-544.7920904608493,max_bars_exit,63311.66028907019
11871,11966,67074.9065,67812.09064285713,1.717662022508801,-1266.2332057814037,stop_loss,62045.427083288785
11899,11966,66890.5835,67813.56747795171,1.3444529605157296,-1240.9085416657756,stop_loss,60804.51854162301
11907,11966,66812.959,67684.22012080887,1.3957817487637494,-1216.0903708324602,stop_loss,59588.42817079055
11922,11966,66722.3445,67512.91847795172,1.5074725410309369,-1191.7685634158108,stop_loss,58396.659607374735
11927,11960,66588.42,67440.89087799999,1.3700564116484746,-1167.9331921474948,stop_loss,57228.72641522724
11928,11960,66461.0595,67380.371378,1.245033982150455,-1144.5745283045449,stop_loss,56084.15188692269
11987,12086,66129.8,67295.45,0.35211695129930637,-410.44512428203444,max_bars_exit,55673.70676264066
12000,12034,66133.249,67723.00967980285,0.700403620116515,-1113.474135252813,stop_loss,54560.23262738784
12005,12034,66326.6635,67687.28941133,0.8019872644356087,-1091.204652547757,stop_loss,53469.027974840086
12153,12215,66943.88,67721.06688810686,1.3759632024952257,-1069.3805594968017,stop_loss,52399.64741534329
12170,12211,67024.413,67556.66571428571,1.968976240380995,-1047.9929483068656,stop_loss,51351.654467036424
12299,12398,65767.181,66481.3155,0.2862776511134932,-204.44074723910893,max_bars_exit,51147.21371979731
12300,12399,65561.6,66487.68,0.284213450010495,-263.20439178571553,max_bars_exit,50884.0093280116
12301,12400,65363.8045,66420.1685,0.28470145880202297,-300.7483718259406,max_bars_exit,50583.26095618566
12316,12415,65406.9,66596.1,0.5441275681476171,-647.0765040411486,max_bars_exit,49936.18445214451
12446,12486,66179.945,66721.49971428573,1.844178737064714,-998.7236890428902,stop_loss,48937.46076310162
12450,12479,66043.61,66553.10028571429,1.92103606821445,-978.7492152620324,stop_loss,47958.711547839586
12451,12479,66077.45,66580.12271428571,1.908148589922487,-959.1742309567917,stop_loss,46999.537316882794
12452,12479,66029.2285,66540.71978571427,1.8377453782521365,-939.9907463376559,stop_loss,46059.546570545135
12469,12503,66154.26,66986.87480885714,1.1063830736752482,-921.1909314109029,stop_loss,45138.355639134235
12471,12517,66229.35,67064.03538028573,1.0815657421406584,-902.7671127826848,stop_loss,44235.58852635155
