min_body,panic_mult,tp_mult,sl_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
0.05,1.5,2.5,2.0,12,11,63.6,2.507,2.54,10254.27,-0.64,3.983
0.05,1.5,2.5,2.0,18,11,54.5,3.002,3.67,10367.41,-1.19,3.079
0.05,1.5,2.5,2.0,25,11,90.9,47.587,7.21,10720.51,-0.15,47.018
0.05,1.5,2.5,2.5,0,11,90.9,6.083,6.4,10640.17,-1.25,5.121
0.05,1.5,2.5,2.5,12,11,63.6,2.511,2.03,10203.27,-0.51,3.98
0.05,1.5,2.5,2.5,18,11,54.5,3.008,2.93,10293.36,-0.96,3.071
0.05,1.5,2.5,2.5,25,11,90.9,47.389,5.73,10572.91,-0.12,46.732
0.05,1.5,3.0,1.5,0,11,72.7,2.625,7.15,10714.92,-1.43,4.993
0.05,1.5,3.0,1.5,12,11,63.6,1.806,2.5,10249.68,-1.34,1.862
0.05,1.5,3.0,1.5,18,11,54.5,2.453,4.75,10474.86,-1.59,2.987
0.05,1.5,3.0,1.5,25,11,72.7,2.864,5.84,10583.58,-1.43,4.076
0.05,1.5,3.0,2.0,0,11,90.9,8.457,9.9,10990.36,-1.31,7.544
0.05,1.5,3.0,2.0,12,11,63.6,2.485,2.5,10250.29,-0.64,3.92
0.05,1.5,3.0,2.0,18,11,54.5,3.258,4.15,10414.76,-1.19,3.476
0.05,1.5,3.0,2.0,25,11,90.9,52.349,7.96,10796.13,-0.15,51.953
0.05,1.5,3.0,2.5,0,11,90.9,7.055,7.64,10764.15,-1.25,6.112
0.05,1.5,3.0,2.5,12,11,63.6,2.489,2.0,10200.11,-0.51,3.918
0.05,1.5,3.0,2.5,18,11,54.5,3.264,3.31,10331.05,-0.96,3.466
0.05,1.5,3.0,2.5,25,11,90.9,52.127,6.33,10632.68,-0.12,51.608
0.05,1.5,3.5,1.5,0,11,72.7,2.847,8.17,10816.81,-1.43,5.705
0.05,1.5,3.5,1.5,12,11,63.6,1.913,2.83,10283.25,-1.34,2.113
0.05,1.5,3.5,1.5,18,11,54.5,2.758,5.78,10578.21,-1.59,3.638
0.05,1.5,3.5,1.5,25,11,72.7,3.183,6.88,10688.0,-1.43,4.805
0.05,1.5,3.5,2.0,0,11,90.9,8.993,10.64,11064.28,-1.31,8.107
0.05,1.5,3.5,2.0,12,11,63.6,2.635,2.76,10275.58,-0.64,4.316
0.05,1.5,3.5,2.0,18,11,54.5,3.669,4.92,10492.08,-1.19,4.124
0.05,1.5,3.5,2.0,25,11,90.9,59.107,9.03,10903.14,-0.15,58.936
0.05,1.5,3.5,2.5,0,11,90.9,7.502,8.22,10822.21,-1.25,6.577
0.05,1.5,3.5,2.5,12,11,63.6,2.638,2.2,10220.3,-0.51,4.313
0.05,1.5,3.5,2.5,18,11,54.5,3.677,3.93,10392.54,-0.96,4.109
0.05,1.5,3.5,2.5,25,11,90.9,58.838,7.17,10717.14,-0.12,58.497
0.05,1.5,4.0,1.5,0,11,72.7,3.152,9.59,10958.9,-1.43,6.698
0.05,1.5,4.0,1.5,12,11,63.6,2.02,3.17,10316.83,-1.34,2.363
0.05,1.5,4.0,1.5,18,11,54.5,3.062,6.82,10682.23,-1.59,4.292
0.05,1.5,4.0,1.5,25,11,72.7,3.501,7.93,10793.11,-1.43,5.54
0.05,1.5,4.0,2.0,0,11,90.9,9.729,11.65,11165.08,-1.31,8.875
0.05,1.5,4.0,2.0,12,11,63.6,2.784,3.01,10300.88,-0.64,4.713
0.05,1.5,4.0,2.0,18,11,54.5,4.079,5.7,10569.79,-1.19,4.775
0.05,1.5,4.0,2.0,25,11,90.9,63.604,9.75,10975.43,-0.15,63.653
0.05,1.5,4.0,2.5,0,11,90.9,8.114,9.01,10901.27,-1.25,7.209
0.05,1.5,4.0,2.5,12,11,63.6,2.788,2.4,10240.48,-0.51,4.708
0.05,1.5,4.0,2.5,18,11,54.5,4.089,4.54,10454.27,-0.96,4.756
0.05,1.5,4.0,2.5,25,11,90.9,63.311,7.74,10774.13,-0.12,63.146
0.05,2.0,2.5,1.5,0,11,72.7,2.175,5.11,10510.81,-1.43,3.568
0.05,2.0,2.5,1.5,12,11,72.7,2.942,4.37,10437.03,-1.34,3.26
0.05,2.0,2.5,1.5,18,11,63.6,3.533,5.88,10587.76,-1.34,4.384
0.05,2.0,2.5,1.5,25,11,72.7,2.68,5.25,10524.97,-1.43,3.667
0.05,2.0,2.5,2.0,0,11,90.9,6.879,7.79,10778.97,-1.31,5.934
0.05,2.0,2.5,2.0,12,11,72.7,4.751,3.9,10390.49,-0.62,6.252
0.05,2.0,2.5,2.0,18,11,63.6,5.44,4.99,10498.6,-0.49,10.149
0.05,2.0,2.5,2.0,25,11,90.9,47.845,7.25,10724.51,-0.15,47.279
0.05,2.0,2.5,2.5,0,11,90.9,5.747,5.98,10597.84,-1.25,4.782
0.05,2.0,2.5,2.5,12,11,72.7,4.755,3.12,10311.56,-0.5,6.234
0.05,2.0,2.5,2.5,18,11,63.6,5.455,3.97,10397.41,-0.39,10.112
0.05,2.0,2.5,2.5,25,11,90.9,47.644,5.76,10576.07,-0.12,46.99
0.05,2.0,3.0,1.5,0,11,72.7,2.394,6.09,10609.39,-1.43,4.256
0.05,2.0,3.0,1.5,12,11,72.7,2.918,4.32,10431.61,-1.34,3.219
0.05,2.0,3.0,1.5,18,11,63.6,3.799,6.52,10652.01,-1.34,4.863
0.05,2.0,3.0,1.5,25,11,72.7,2.88,5.89,10588.83,-1.43,4.113
0.05,2.0,3.0,2.0,0,11,90.9,7.843,9.09,10908.84,-1.31,6.923
0.05,2.0,3.0,2.0,12,11,72.7,4.713,3.86,10386.46,-0.62,6.188
0.05,2.0,3.0,2.0,18,11,63.6,5.857,5.47,10546.54,-0.49,11.125
0.05,2.0,3.0,2.0,25,11,90.9,52.608,8.0,10800.16,-0.15,52.215
0.05,2.0,3.0,2.5,0,11,90.9,6.548,7.0,10700.1,-1.25,5.6
0.05,2.0,3.0,2.5,12,11,72.7,4.717,3.08,10308.37,-0.5,6.17
0.05,2.0,3.0,2.5,18,11,63.6,5.874,4.35,10435.48,-0.39,11.08
0.05,2.0,3.0,2.5,25,11,90.9,52.383,6.36,10635.85,-0.12,51.867
