session,adx,tp,sl,pb_pct,trail_dist,risk_pct,trades,wr,pf,ret,mdd
close_only,25,5.0,1.5,0.4,0.6,0.02,8,62.5,3.86758906092312,17.67135617423272,-3.5730060000836237
close_only,22,5.0,1.5,0.4,0.6,0.02,8,62.5,3.86758906092312,17.67135617423272,-3.5730060000836237
close_only,22,5.0,1.5,0.5,0.6,0.02,8,62.5,3.86758906092312,17.67135617423272,-3.5730060000836237
close_only,25,5.0,1.5,0.3,0.6,0.02,8,62.5,3.86758906092312,17.67135617423272,-3.5730060000836237
close_only,25,5.0,1.5,0.5,0.6,0.02,8,62.5,3.86758906092312,17.67135617423272,-3.5730060000836237
all,22,5.0,2.5,0.4,0.6,0.02,12,75.0,3.385121463644135,17.24016173344587,-4.790216310019313
no_overnight,22,5.0,2.5,0.3,0.6,0.02,12,75.0,3.385121463644135,17.24016173344587,-4.790216310019313
no_overnight,22,5.0,2.5,0.4,0.6,0.02,12,75.0,3.385121463644135,17.24016173344587,-4.790216310019313
all,22,5.0,2.5,0.3,0.6,0.02,12,75.0,3.385121463644135,17.24016173344587,-4.790216310019313
all,22,5.0,2.5,0.5,0.6,0.02,12,75.0,3.385121463644135,17.24016173344587,-4.790216310019313
no_overnight,22,5.0,2.5,0.5,0.6,0.02,12,75.0,3.385121463644135,17.24016173344587,-4.790216310019313
no_overnight,22,5.0,2.5,0.4,1.0,0.02,12,75.0,3.3671454821298488,17.171041619540617,-4.790216310019313
no_overnight,22,5.0,2.5,0.3,1.0,0.02,12,75.0,3.3671454821298488,17.171041619540617,-4.790216310019313
no_overnight,22,5.0,2.5,0.5,1.0,0.02,12,75.0,3.3671454821298488,17.171041619540617,-4.790216310019313
all,22,5.0,2.5,0.4,1.0,0.02,12,75.0,3.3671454821298488,17.171041619540617,-4.790216310019313
all,22,5.0,2.5,0.3,1.0,0.02,12,75.0,3.3671454821298488,17.171041619540617,-4.790216310019313
all,22,5.0,2.5,0.5,1.0,0.02,12,75.0,3.3671454821298488,17.171041619540617,-4.790216310019313
no_overnight,22,5.0,1.5,0.4,0.4,0.02,12,58.333333333333336,2.6833661558718465,17.073561468087696,-7.656999869736428
all,22,5.0,1.5,0.3,0.4,0.02,12,58.333333333333336,2.6833661558718465,17.073561468087696,-7.656999869736428
all,22,5.0,1.5,0.4,0.4,0.02,12,58.333333333333336,2.6833661558718465,17.073561468087696,-7.656999869736428
no_overnight,22,5.0,1.5,0.3,0.4,0.02,12,58.333333333333336,2.6833661558718465,17.073561468087696,-7.656999869736428
all,22,5.0,1.5,0.5,0.4,0.02,12,58.333333333333336,2.6833661558718465,17.073561468087696,-7.656999869736428
