rsi_dir,ema_slope,trade_mode,adx_thresh,pb_pct,vol_mult,tp_mult,sl_mult,risk_pct,n,wr,pf,ret,mdd,calmar
0,0,shorts,10,0.3,0.7,24.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,10,0.3,1.2,8.0,1.5,0.02,17,41.2,0.502,-9.99,-14.73,-0.68
0,0,shorts,10,0.3,1.2,8.0,1.5,0.025,17,41.2,0.534,-9.78,-15.14,-0.65
0,0,shorts,10,0.3,1.2,8.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,10,0.3,1.2,8.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,10,0.3,1.2,12.0,1.5,0.02,17,41.2,0.502,-9.99,-14.73,-0.68
0,0,shorts,10,0.3,1.2,12.0,1.5,0.025,17,41.2,0.534,-9.78,-15.14,-0.65
0,0,shorts,10,0.3,1.2,12.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,10,0.3,1.2,12.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,10,0.3,1.2,16.0,1.5,0.02,17,41.2,0.502,-9.99,-14.73,-0.68
0,0,shorts,10,0.3,1.2,16.0,1.5,0.025,17,41.2,0.534,-9.78,-15.14,-0.65
0,0,shorts,10,0.3,1.2,16.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,10,0.3,1.2,16.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,10,0.3,1.2,24.0,1.5,0.02,17,41.2,0.502,-9.99,-14.73,-0.68
0,0,shorts,10,0.3,1.2,24.0,1.5,0.025,17,41.2,0.534,-9.78,-15.14,-0.65
0,0,shorts,10,0.3,1.2,24.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,10,0.3,1.2,24.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,10,0.5,0.3,8.0,1.5,0.02,40,37.5,0.609,-18.69,-31.07,-0.6
0,0,shorts,10,0.5,0.3,8.0,1.5,0.025,40,37.5,0.638,-18.68,-33.28,-0.56
0,0,shorts,10,0.5,0.3,8.0,2.0,0.02,33,42.4,0.642,-14.41,-26.89,-0.54
0,0,shorts,10,0.5,0.3,8.0,2.0,0.025,33,42.4,0.671,-14.92,-30.34,-0.49
0,0,shorts,10,0.5,0.3,12.0,1.5,0.02,40,37.5,0.599,-19.17,-31.07,-0.62
0,0,shorts,10,0.5,0.3,12.0,1.5,0.025,40,37.5,0.626,-19.27,-33.28,-0.58
0,0,shorts,10,0.5,0.3,12.0,2.0,0.02,33,42.4,0.633,-14.8,-26.89,-0.55
0,0,shorts,10,0.5,0.3,12.0,2.0,0.025,33,42.4,0.66,-15.39,-30.34,-0.51
0,0,shorts,10,0.5,0.3,16.0,1.5,0.02,40,37.5,0.599,-19.17,-31.07,-0.62
0,0,shorts,10,0.5,0.3,16.0,1.5,0.025,40,37.5,0.626,-19.27,-33.28,-0.58
0,0,shorts,10,0.5,0.3,16.0,2.0,0.02,33,42.4,0.633,-14.8,-26.89,-0.55
0,0,shorts,10,0.5,0.3,16.0,2.0,0.025,33,42.4,0.66,-15.39,-30.34,-0.51
0,0,shorts,10,0.5,0.3,24.0,1.5,0.02,40,37.5,0.599,-19.17,-31.07,-0.62
0,0,shorts,10,0.5,0.3,24.0,1.5,0.025,40,37.5,0.626,-19.27,-33.28,-0.58
0,0,shorts,10,0.5,0.3,24.0,2.0,0.02,33,42.4,0.633,-14.8,-26.89,-0.55
0,0,shorts,10,0.5,0.3,24.0,2.0,0.025,33,42.4,0.66,-15.39,-30.34,-0.51
0,0,shorts,10,0.5,0.7,8.0,1.5,0.02,31,35.5,0.583,-15.84,-24.2,-0.65
0,0,shorts,10,0.5,0.7,8.0,1.5,0.025,31,35.5,0.639,-14.59,-24.87,-0.59
0,0,shorts,10,0.5,0.7,8.0,2.0,0.02,26,38.5,0.574,-14.3,-23.25,-0.62
0,0,shorts,10,0.5,0.7,8.0,2.0,0.025,26,38.5,0.613,-14.45,-25.75,-0.56
0,0,shorts,10,0.5,0.7,12.0,1.5,0.02,31,35.5,0.57,-16.34,-24.2,-0.68
0,0,shorts,10,0.5,0.7,12.0,1.5,0.025,31,35.5,0.623,-15.21,-24.87,-0.61
0,0,shorts,10,0.5,0.7,12.0,2.0,0.02,26,38.5,0.562,-14.69,-23.25,-0.63
0,0,shorts,10,0.5,0.7,12.0,2.0,0.025,26,38.5,0.6,-14.93,-25.75,-0.58
0,0,shorts,10,0.5,0.7,16.0,1.5,0.02,31,35.5,0.57,-16.34,-24.2,-0.68
0,0,shorts,10,0.5,0.7,16.0,1.5,0.025,31,35.5,0.623,-15.21,-24.87,-0.61
0,0,shorts,10,0.5,0.7,16.0,2.0,0.02,26,38.5,0.562,-14.69,-23.25,-0.63
0,0,shorts,10,0.5,0.7,16.0,2.0,0.025,26,38.5,0.6,-14.93,-25.75,-0.58
0,0,shorts,10,0.5,0.7,24.0,1.5,0.02,31,35.5,0.57,-16.34,-24.2,-0.68
0,0,shorts,10,0.5,0.7,24.0,1.5,0.025,31,35.5,0.623,-15.21,-24.87,-0.61
0,0,shorts,10,0.5,0.7,24.0,2.0,0.02,26,38.5,0.562,-14.69,-23.25,-0.63
0,0,shorts,10,0.5,0.7,24.0,2.0,0.025,26,38.5,0.6,-14.93,-25.75,-0.58
0,0,shorts,10,0.5,1.2,8.0,1.5,0.02,23,39.1,0.791,-5.73,-16.94,-0.34
0,0,shorts,10,0.5,1.2,8.0,1.5,0.025,23,39.1,0.876,-3.6,-17.06,-0.21
0,0,shorts,10,0.5,1.2,8.0,2.0,0.02,20,40.0,0.724,-7.07,-18.91,-0.37
0,0,shorts,10,0.5,1.2,8.0,2.0,0.025,20,40.0,0.789,-5.97,-20.6,-0.29
0,0,shorts,10,0.5,1.2,12.0,1.5,0.02,23,39.1,0.771,-6.29,-16.94,-0.37
0,0,shorts,10,0.5,1.2,12.0,1.5,0.025,23,39.1,0.852,-4.3,-17.06,-0.25
0,0,shorts,10,0.5,1.2,12.0,2.0,0.02,20,40.0,0.708,-7.49,-18.91,-0.4
0,0,shorts,10,0.5,1.2,12.0,2.0,0.025,20,40.0,0.77,-6.49,-20.6,-0.32
0,0,shorts,10,0.5,1.2,16.0,1.5,0.02,23,39.1,0.771,-6.29,-16.94,-0.37
0,0,shorts,10,0.5,1.2,16.0,1.5,0.025,23,39.1,0.852,-4.3,-17.06,-0.25
0,0,shorts,10,0.5,1.2,16.0,2.0,0.02,20,40.0,0.708,-7.49,-18.91,-0.4
0,0,shorts,10,0.5,1.2,16.0,2.0,0.025,20,40.0,0.77,-6.49,-20.6,-0.32
0,0,shorts,10,0.5,1.2,24.0,1.5,0.02,23,39.1,0.771,-6.29,-16.94,-0.37
0,0,shorts,10,0.5,1.2,24.0,1.5,0.025,23,39.1,0.852,-4.3,-17.06,-0.25
0,0,shorts,10,0.5,1.2,24.0,2.0,0.02,20,40.0,0.708,-7.49,-18.91,-0.4
0,0,shorts,10,0.5,1.2,24.0,2.0,0.025,20,40.0,0.77,-6.49,-20.6,-0.32
0,0,shorts,14,0.15,0.3,8.0,1.5,0.02,25,32.0,0.374,-20.98,-25.94,-0.81
0,0,shorts,14,0.15,0.3,8.0,1.5,0.025,25,32.0,0.394,-22.01,-28.05,-0.78
0,0,shorts,14,0.15,0.3,8.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,14,0.15,0.3,8.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,14,0.15,0.3,12.0,1.5,0.02,25,32.0,0.374,-20.98,-25.94,-0.81
0,0,shorts,14,0.15,0.3,12.0,1.5,0.025,25,32.0,0.394,-22.01,-28.05,-0.78
0,0,shorts,14,0.15,0.3,12.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,14,0.15,0.3,12.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,14,0.15,0.3,16.0,1.5,0.02,25,32.0,0.374,-20.98,-25.94,-0.81
0,0,shorts,14,0.15,0.3,16.0,1.5,0.025,25,32.0,0.394,-22.01,-28.05,-0.78
0,0,shorts,14,0.15,0.3,16.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,14,0.15,0.3,16.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,14,0.15,0.3,24.0,1.5,0.02,25,32.0,0.374,-20.98,-25.94,-0.81
0,0,shorts,14,0.15,0.3,24.0,1.5,0.025,25,32.0,0.394,-22.01,-28.05,-0.78
0,0,shorts,14,0.15,0.3,24.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,14,0.15,0.3,24.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,14,0.15,0.7,8.0,1.5,0.02,18,38.9,0.49,-11.65,-15.36,-0.76
0,0,shorts,14,0.15,0.7,8.0,1.5,0.025,18,38.9,0.507,-12.23,-16.79,-0.73
0,0,shorts,14,0.15,0.7,8.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,14,0.15,0.7,8.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,14,0.15,0.7,12.0,1.5,0.02,18,38.9,0.49,-11.65,-15.36,-0.76
0,0,shorts,14,0.15,0.7,12.0,1.5,0.025,18,38.9,0.507,-12.23,-16.79,-0.73
0,0,shorts,14,0.15,0.7,12.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,14,0.15,0.7,12.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,14,0.15,0.7,16.0,1.5,0.02,18,38.9,0.49,-11.65,-15.36,-0.76
0,0,shorts,14,0.15,0.7,16.0,1.5,0.025,18,38.9,0.507,-12.23,-16.79,-0.73
0,0,shorts,14,0.15,0.7,16.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,14,0.15,0.7,16.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,14,0.15,0.7,24.0,1.5,0.02,18,38.9,0.49,-11.65,-15.36,-0.76
0,0,shorts,14,0.15,0.7,24.0,1.5,0.025,18,38.9,0.507,-12.23,-16.79,-0.73
0,0,shorts,14,0.15,0.7,24.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,14,0.15,0.7,24.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,14,0.15,1.2,8.0,1.5,0.02,12,50.0,0.83,-2.14,-7.06,-0.3
0,0,shorts,14,0.15,1.2,8.0,1.5,0.025,12,50.0,0.859,-1.92,-7.51,-0.26
0,0,shorts,14,0.15,1.2,8.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,14,0.15,1.2,8.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,14,0.15,1.2,12.0,1.5,0.02,12,50.0,0.83,-2.14,-7.06,-0.3
0,0,shorts,14,0.15,1.2,12.0,1.5,0.025,12,50.0,0.859,-1.92,-7.51,-0.26
0,0,shorts,14,0.15,1.2,12.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,14,0.15,1.2,12.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,14,0.15,1.2,16.0,1.5,0.02,12,50.0,0.83,-2.14,-7.06,-0.3
0,0,shorts,14,0.15,1.2,16.0,1.5,0.025,12,50.0,0.859,-1.92,-7.51,-0.26
0,0,shorts,14,0.15,1.2,16.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,14,0.15,1.2,16.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,14,0.15,1.2,24.0,1.5,0.02,12,50.0,0.83,-2.14,-7.06,-0.3
0,0,shorts,14,0.15,1.2,24.0,1.5,0.025,12,50.0,0.859,-1.92,-7.51,-0.26
0,0,shorts,14,0.15,1.2,24.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,14,0.15,1.2,24.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,14,0.3,0.3,8.0,1.5,0.02,34,32.4,0.322,-29.12,-30.36,-0.96
0,0,shorts,14,0.3,0.3,8.0,1.5,0.025,34,32.4,0.336,-30.82,-32.68,-0.94
0,0,shorts,14,0.3,0.3,8.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,14,0.3,0.3,8.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,14,0.3,0.3,12.0,1.5,0.02,34,32.4,0.322,-29.12,-30.36,-0.96
0,0,shorts,14,0.3,0.3,12.0,1.5,0.025,34,32.4,0.336,-30.82,-32.68,-0.94
0,0,shorts,14,0.3,0.3,12.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,14,0.3,0.3,12.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,14,0.3,0.3,16.0,1.5,0.02,34,32.4,0.322,-29.12,-30.36,-0.96
0,0,shorts,14,0.3,0.3,16.0,1.5,0.025,34,32.4,0.336,-30.82,-32.68,-0.94
0,0,shorts,14,0.3,0.3,16.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,14,0.3,0.3,16.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,14,0.3,0.3,24.0,1.5,0.02,34,32.4,0.322,-29.12,-30.36,-0.96
0,0,shorts,14,0.3,0.3,24.0,1.5,0.025,34,32.4,0.336,-30.82,-32.68,-0.94
0,0,shorts,14,0.3,0.3,24.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,14,0.3,0.3,24.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,14,0.3,0.7,8.0,1.5,0.02,25,36.0,0.376,-19.46,-22.01,-0.88
0,0,shorts,14,0.3,0.7,8.0,1.5,0.025,25,36.0,0.398,-19.89,-22.97,-0.87
0,0,shorts,14,0.3,0.7,8.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
0,0,shorts,14,0.3,0.7,8.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,14,0.3,0.7,12.0,1.5,0.02,25,36.0,0.376,-19.46,-22.01,-0.88
0,0,shorts,14,0.3,0.7,12.0,1.5,0.025,25,36.0,0.398,-19.89,-22.97,-0.87
0,0,shorts,14,0.3,0.7,12.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
0,0,shorts,14,0.3,0.7,12.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,14,0.3,0.7,16.0,1.5,0.02,25,36.0,0.376,-19.46,-22.01,-0.88
0,0,shorts,14,0.3,0.7,16.0,1.5,0.025,25,36.0,0.398,-19.89,-22.97,-0.87
0,0,shorts,14,0.3,0.7,16.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
0,0,shorts,14,0.3,0.7,16.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,14,0.3,0.7,24.0,1.5,0.02,25,36.0,0.376,-19.46,-22.01,-0.88
0,0,shorts,14,0.3,0.7,24.0,1.5,0.025,25,36.0,0.398,-19.89,-22.97,-0.87
0,0,shorts,14,0.3,0.7,24.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
0,0,shorts,14,0.3,0.7,24.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,14,0.3,1.2,8.0,1.5,0.02,17,41.2,0.505,-9.88,-14.63,-0.68
0,0,shorts,14,0.3,1.2,8.0,1.5,0.025,17,41.2,0.537,-9.68,-15.04,-0.64
0,0,shorts,14,0.3,1.2,8.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,14,0.3,1.2,8.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,14,0.3,1.2,12.0,1.5,0.02,17,41.2,0.505,-9.88,-14.63,-0.68
0,0,shorts,14,0.3,1.2,12.0,1.5,0.025,17,41.2,0.537,-9.68,-15.04,-0.64
0,0,shorts,14,0.3,1.2,12.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,14,0.3,1.2,12.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,14,0.3,1.2,16.0,1.5,0.02,17,41.2,0.505,-9.88,-14.63,-0.68
0,0,shorts,14,0.3,1.2,16.0,1.5,0.025,17,41.2,0.537,-9.68,-15.04,-0.64
0,0,shorts,14,0.3,1.2,16.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,14,0.3,1.2,16.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,14,0.3,1.2,24.0,1.5,0.02,17,41.2,0.505,-9.88,-14.63,-0.68
0,0,shorts,14,0.3,1.2,24.0,1.5,0.025,17,41.2,0.537,-9.68,-15.04,-0.64
0,0,shorts,14,0.3,1.2,24.0,2.0,0.02,14,42.9,0.586,-7.13,-12.47,-0.57
0,0,shorts,14,0.3,1.2,24.0,2.0,0.025,14,42.9,0.602,-7.7,-14.26,-0.54
0,0,shorts,14,0.5,0.3,8.0,1.5,0.02,40,37.5,0.611,-18.59,-30.99,-0.6
0,0,shorts,14,0.5,0.3,8.0,1.5,0.025,40,37.5,0.639,-18.59,-33.21,-0.56
0,0,shorts,14,0.5,0.3,8.0,2.0,0.02,33,42.4,0.642,-14.41,-26.89,-0.54
0,0,shorts,14,0.5,0.3,8.0,2.0,0.025,33,42.4,0.671,-14.92,-30.34,-0.49
0,0,shorts,14,0.5,0.3,12.0,1.5,0.02,40,37.5,0.6,-19.08,-30.99,-0.62
0,0,shorts,14,0.5,0.3,12.0,1.5,0.025,40,37.5,0.627,-19.18,-33.21,-0.58
0,0,shorts,14,0.5,0.3,12.0,2.0,0.02,33,42.4,0.633,-14.8,-26.89,-0.55
0,0,shorts,14,0.5,0.3,12.0,2.0,0.025,33,42.4,0.66,-15.39,-30.34,-0.51
0,0,shorts,14,0.5,0.3,16.0,1.5,0.02,40,37.5,0.6,-19.08,-30.99,-0.62
0,0,shorts,14,0.5,0.3,16.0,1.5,0.025,40,37.5,0.627,-19.18,-33.21,-0.58
