risk_pct,cb_dd_pct,trail_dist,trail_act,di_align,n,wr,pf,ret,mdd,calmar
0.03,2.0,0.2,3.0,True,50,44.0,2.153,70.32,-13.78,5.1
0.03,3.0,0.1,2.5,False,56,44.6,1.796,43.27,-8.89,4.87
0.03,3.0,0.1,2.5,True,55,45.5,1.846,45.22,-8.89,5.09
0.03,3.0,0.1,3.0,False,55,40.0,1.873,60.36,-15.3,3.95
0.03,3.0,0.1,3.0,True,54,40.7,1.919,62.55,-15.3,4.09
0.03,3.0,0.2,2.5,False,55,45.5,1.783,41.11,-7.98,5.15
0.03,3.0,0.2,2.5,True,54,46.3,1.835,43.03,-7.98,5.39
0.03,3.0,0.2,3.0,False,54,40.7,1.876,58.68,-14.46,4.06
0.03,3.0,0.2,3.0,True,53,41.5,1.924,60.84,-14.46,4.21
0.03,4.0,0.1,2.5,False,57,43.9,1.744,41.42,-10.07,4.11
0.03,4.0,0.1,2.5,True,56,44.6,1.791,43.34,-10.07,4.31
0.03,4.0,0.1,3.0,False,55,40.0,1.904,61.64,-14.63,4.21
0.03,4.0,0.1,3.0,True,54,40.7,1.951,63.84,-14.63,4.37
0.03,4.0,0.2,2.5,False,57,43.9,1.687,37.73,-10.18,3.71
0.03,4.0,0.2,2.5,True,56,44.6,1.733,39.61,-10.18,3.89
0.03,4.0,0.2,3.0,False,55,40.0,1.863,58.17,-14.73,3.95
0.03,4.0,0.2,3.0,True,54,40.7,1.91,60.32,-14.73,4.09
0.03,5.0,0.1,2.5,False,59,45.8,1.895,52.14,-8.37,6.23
0.03,5.0,0.1,2.5,True,56,44.6,1.798,43.13,-8.37,5.15
0.03,5.0,0.1,3.0,False,56,42.9,2.115,78.52,-13.02,6.03
0.03,5.0,0.1,3.0,True,54,40.7,1.96,63.6,-13.02,4.89
0.03,5.0,0.2,2.5,False,56,44.6,1.761,40.33,-8.49,4.75
0.03,5.0,0.2,2.5,True,55,45.5,1.811,42.24,-8.49,4.98
0.03,5.0,0.2,3.0,False,54,40.7,1.938,61.15,-13.13,4.66
0.03,5.0,0.2,3.0,True,53,41.5,1.989,63.35,-13.13,4.83
0.04,0.0,0.1,2.5,False,61,44.3,1.78,48.44,-11.23,4.31
0.04,0.0,0.1,2.5,True,59,44.1,1.76,45.15,-11.23,4.02
0.04,0.0,0.1,3.0,False,60,41.7,2.027,82.59,-13.05,6.33
0.04,0.0,0.1,3.0,True,59,40.7,1.95,73.92,-13.05,5.67
0.04,0.0,0.2,2.5,False,61,44.3,1.722,44.13,-11.35,3.89
0.04,0.0,0.2,2.5,True,59,44.1,1.703,41.14,-11.35,3.63
0.04,0.0,0.2,3.0,False,60,41.7,1.983,77.81,-13.31,5.85
0.04,0.0,0.2,3.0,True,59,40.7,1.907,69.62,-13.31,5.23
0.04,2.0,0.1,2.5,False,53,45.3,1.818,42.0,-10.94,3.84
0.04,2.0,0.1,2.5,True,52,46.2,1.872,43.94,-10.94,4.01
0.04,2.0,0.1,3.0,False,51,43.1,2.176,75.69,-13.67,5.54
0.04,2.0,0.1,3.0,True,50,44.0,2.237,78.08,-13.67,5.71
0.04,2.0,0.2,2.5,False,53,45.3,1.761,38.51,-11.12,3.46
0.04,2.0,0.2,2.5,True,52,46.2,1.813,40.4,-11.12,3.63
0.04,2.0,0.2,3.0,False,51,43.1,2.131,71.88,-13.78,5.22
0.04,2.0,0.2,3.0,True,50,44.0,2.191,74.22,-13.78,5.39
0.04,3.0,0.1,2.5,False,56,44.6,1.809,44.29,-8.89,4.98
0.04,3.0,0.1,2.5,True,55,45.5,1.86,46.26,-8.89,5.2
0.04,3.0,0.1,3.0,False,55,40.0,1.906,64.07,-15.3,4.19
0.04,3.0,0.1,3.0,True,54,40.7,1.953,66.31,-15.3,4.33
0.04,3.0,0.2,2.5,False,55,45.5,1.797,42.07,-7.98,5.27
0.04,3.0,0.2,2.5,True,54,46.3,1.848,44.01,-7.98,5.51
0.04,3.0,0.2,3.0,False,54,40.7,1.91,62.32,-14.46,4.31
0.04,3.0,0.2,3.0,True,53,41.5,1.958,64.53,-14.46,4.46
0.04,4.0,0.1,2.5,False,57,43.9,1.757,42.42,-10.07,4.21
0.04,4.0,0.1,2.5,True,56,44.6,1.805,44.36,-10.07,4.41
0.04,4.0,0.1,3.0,False,55,40.0,1.937,65.38,-14.63,4.47
0.04,4.0,0.1,3.0,True,54,40.7,1.986,67.63,-14.63,4.62
0.04,4.0,0.2,2.5,False,57,43.9,1.7,38.68,-10.18,3.8
0.04,4.0,0.2,2.5,True,56,44.6,1.746,40.56,-10.18,3.98
0.04,4.0,0.2,3.0,False,55,40.0,1.897,61.8,-14.73,4.19
0.04,4.0,0.2,3.0,True,54,40.7,1.944,64.0,-14.73,4.34
0.04,5.0,0.1,2.5,False,59,45.8,1.907,53.23,-8.37,6.36
0.04,5.0,0.1,2.5,True,56,44.6,1.811,44.15,-8.37,5.27
0.04,5.0,0.1,3.0,False,56,42.9,2.148,82.65,-13.02,6.35
0.04,5.0,0.1,3.0,True,54,40.7,1.994,67.38,-13.02,5.18
0.04,5.0,0.2,2.5,False,56,44.6,1.774,41.29,-8.49,4.86
0.04,5.0,0.2,2.5,True,55,45.5,1.824,43.21,-8.49,5.09
0.04,5.0,0.2,3.0,False,54,40.7,1.973,64.85,-13.13,4.94
0.04,5.0,0.2,3.0,True,53,41.5,2.025,67.09,-13.13,5.11
