be_trig,em_slope,sl,tp,maxb,pf,wr,np,n,dd,calmar,yrs
0.0,0,1.5,2.5,20,2.298334234328326,66.66666666666666,15.92162158230274,30,-4.241436222525857,3.753827889181629,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-70.4095686430144), 2005: np.float64(291.3569630681841), 2006: np.float64(533.745250384439), 2009: np.float64(174.4442604904995), 2011: np.float64(98.58949351014486), 2012: np.float64(-115.57388224565389), 2013: np.float64(382.5669875271968), 2015: np.float64(180.0281064062782), 2016: np.float64(-52.61225424631384), 2017: np.float64(52.19561289351533), 2018: np.float64(108.57778235434016), 2019: np.float64(-296.28299990588266), 2020: np.float64(-117.5168629931873), 2021: np.float64(107.11441350859764), 2024: np.float64(178.99045628742311), 2025: np.float64(240.6253262181227)}"
0.0,0,1.5,2.5,25,2.197948082449353,63.33333333333333,15.883673987617023,30,-3.6216192693846745,4.385793427235578,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-96.93569714591713), 2005: np.float64(208.1864337207552), 2006: np.float64(535.1706394689941), 2009: np.float64(172.67097408181073), 2011: np.float64(126.20750729294689), 2012: np.float64(-114.70182876285315), 2013: np.float64(349.00567780652227), 2015: np.float64(178.1762611540783), 2016: np.float64(-52.071062344790974), 2017: np.float64(51.65870674118163), 2018: np.float64(180.9982902717923), 2019: np.float64(-295.1333333436195), 2020: np.float64(-117.06086245340522), 2021: np.float64(146.39419973910015), 2024: np.float64(178.93186275504243), 2025: np.float64(240.54655616447945)}"
0.0,0,1.5,2.5,30,1.9531027162518322,60.0,13.750901195077404,30,-4.619062381665082,2.9769897132500884,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-92.9467131430441), 2005: np.float64(208.2711790545014), 2006: np.float64(574.5184096309295), 2009: np.float64(173.3821392485572), 2011: np.float64(136.65023139636466), 2012: np.float64(-115.27922358068034), 2013: np.float64(350.7625292179707), 2015: np.float64(179.07317841302532), 2016: np.float64(-52.3331816316491), 2017: np.float64(51.9187502809379), 2018: np.float64(181.90941327624395), 2019: np.float64(-296.6189980368388), 2020: np.float64(-117.65013235502741), 2021: np.float64(-114.64869422921139), 2024: np.float64(175.63872408010556), 2025: np.float64(236.1194342699705)}"
0.0,0,1.5,3.0,0,2.2003463249030624,55.172413793103445,19.18940162048272,29,-4.602387125935918,4.169445354204197,"{2002: np.float64(-103.67692638441525), 2003: np.float64(89.20507680854017), 2005: np.float64(289.50454955171926), 2006: np.float64(666.9516689138575), 2009: np.float64(215.66119489808975), 2011: np.float64(-114.89044202365626), 2012: np.float64(-116.82976018479614), 2013: np.float64(454.250172007589), 2015: np.float64(227.47132505460178), 2016: np.float64(-15.831319169270756), 2017: np.float64(100.29451646068352), 2018: np.float64(231.91597625212205), 2019: np.float64(-307.76329440808877), 2020: np.float64(-122.07037499544782), 2021: np.float64(-118.95616959499515), 2024: np.float64(220.1323642963164), 2025: np.float64(323.57160456542226)}"
0.0,0,1.5,3.0,20,2.620136099981784,66.66666666666666,20.361172920904558,30,-3.8562868818585603,5.279994342923826,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-70.4095686430144), 2005: np.float64(334.80313585518974), 2006: np.float64(659.3722742205342), 2009: np.float64(213.25869473524673), 2011: np.float64(100.48276513778963), 2012: np.float64(-117.79331501036262), 2013: np.float64(420.82723894289734), 2015: np.float64(205.41516723019882), 2016: np.float64(-15.878553537163256), 2017: np.float64(100.59375545886476), 2018: np.float64(111.98046039786782), 2019: np.float64(-305.5681007487068), 2020: np.float64(-121.19967950297928), 2021: np.float64(110.47123158949739), 2024: np.float64(222.98565372245292), 2025: np.float64(290.45305862655783)}"
0.0,0,1.5,3.0,25,2.596353222731969,63.33333333333333,21.795112228081184,30,-3.604769632700713,6.046187259892158,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-96.93569714591713), 2005: np.float64(222.8350564851431), 2006: np.float64(692.7029029007615), 2009: np.float64(211.18597169124885), 2011: np.float64(128.68910984781112), 2012: np.float64(-116.95719658851502), 2013: np.float64(454.7456622680993), 2015: np.float64(227.71944785797197), 2016: np.float64(-15.848587769136657), 2017: np.float64(100.40391643266202), 2018: np.float64(195.6861323315346), 2019: np.float64(-307.1573644124178), 2020: np.float64(-121.83004061140505), 2021: np.float64(152.35844778256123), 2024: np.float64(224.9448831018816), 2025: np.float64(330.6455050202501)}"
0.0,0,1.5,3.0,30,2.321417438671413,60.0,19.638849433727074,30,-4.602387125935909,4.267100723243366,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-92.9467131430441), 2005: np.float64(199.41499781131347), 2006: np.float64(731.0356156341829), 2009: np.float64(211.55851379263157), 2011: np.float64(139.01043494844254), 2012: np.float64(-117.27031009546788), 2013: np.float64(455.96309063708907), 2015: np.float64(228.32908999201732), 2016: np.float64(-15.891017025662961), 2017: np.float64(100.67271410653785), 2018: np.float64(232.79050139417157), 2019: np.float64(-308.92382997407003), 2020: np.float64(-122.53068658655992), 2021: np.float64(-119.40473792044607), 2024: np.float64(220.962454962199), 2025: np.float64(324.79175122378854)}"
0.0,0,1.5,3.5,0,1.876846491813225,48.275862068965516,16.43944568660947,29,-6.655333713457029,2.470115909194613,"{2002: np.float64(-103.67692638441525), 2003: np.float64(121.82968363913874), 2005: np.float64(347.4605443087337), 2006: np.float64(745.0817013729144), 2009: np.float64(255.99982813377025), 2011: np.float64(-117.04302543253785), 2012: np.float64(-119.01867859269665), 2013: np.float64(513.3476561059646), 2015: np.float64(264.8943970876946), 2016: np.float64(22.616284960109297), 2017: np.float64(133.63820551484068), 2018: np.float64(-127.4947119608386), 2019: np.float64(-308.1145455763185), 2020: np.float64(-122.20969427946399), 2021: np.float64(-119.09193462707522), 2024: np.float64(258.32155486529285), 2025: np.float64(-2.595770474166173)}"
0.0,0,1.5,3.5,20,2.7784820659984386,66.66666666666666,22.439606216788217,30,-3.7615487496058533,5.965523168917991,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-70.4095686430144), 2005: np.float64(357.72186918751595), 2006: np.float64(585.82136526455), 2009: np.float64(248.13740937521513), 2011: np.float64(100.33929541526152), 2012: np.float64(-117.6251292105687), 2013: np.float64(420.2263800083267), 2015: np.float64(205.12187457443676), 2016: np.float64(22.078421164616344), 2017: np.float64(130.46000217296276), 2018: np.float64(112.4693696298815), 2019: np.float64(-306.9022180128627), 2020: np.float64(-121.72884005487887), 2021: np.float64(110.95355149427478), 2024: np.float64(336.5751990897914), 2025: np.float64(334.398566607729)}"
0.0,0,1.5,3.5,25,2.829781047292307,63.33333333333333,25.407809785077657,30,-3.604769632700729,7.048386547254027,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-96.93569714591713), 2005: np.float64(245.4413992715547), 2006: np.float64(742.5310331533117), 2009: np.float64(248.5499112669645), 2011: np.float64(129.98232932767547), 2012: np.float64(-118.13252001034502), 2013: np.float64(509.5255045196143), 2015: np.float64(262.9221147016715), 2016: np.float64(22.447894458254623), 2017: np.float64(132.64319662928315), 2018: np.float64(200.2073551826079), 2019: np.float64(-314.2540701335165), 2020: np.float64(-124.64485818174907), 2021: np.float64(155.878607782972), 2024: np.float64(269.7599462655902), 2025: np.float64(378.5357578042078)}"
0.0,0,1.5,3.5,30,1.920287035227456,53.333333333333336,16.118702867475925,30,-6.655333713457059,2.4219225603794996,"{2002: np.float64(-103.67692638441525), 2003: np.float64(-92.9467131430441), 2005: np.float64(221.9775114432976), 2006: np.float64(803.1182927493204), 2009: np.float64(249.49717478276375), 2011: np.float64(140.6942987938803), 2012: np.float64(-118.69083104690779), 2013: np.float64(511.93359428658607), 2015: np.float64(264.16472188876537), 2016: np.float64(22.55398638977816), 2017: np.float64(133.27008718064536), 2018: np.float64(-127.1435164265606), 2019: np.float64(-307.26581663071534), 2020: np.float64(-121.87305679688657), 2021: np.float64(-118.76388529101798), 2024: np.float64(257.6099851454106), 2025: np.float64(-2.5886201933072073)}"
