em,at,pb,mb,pm,sl,tp,ta,td,rl,rh,rs,rx,vm,dl,ds,pf,wr,np,n,dd
34,20,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.6986389623846028,47.61904761904761,10.689356140570762,21,-6.136721024077363
34,20,0.1,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.67579207803609,52.63157894736842,8.124793998961904,19,-4.788222363665086
50,28,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,True,1.6673591626242723,37.5,11.437477701647712,24,-4.112874954370093
50,25,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.6659505519217006,42.857142857142854,5.981275031110854,14,-3.1569652360694116
50,20,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.6478121411352726,45.45454545454545,15.643433210844341,33,-8.13550997697703
34,28,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.6477572410507646,42.10526315789473,8.027644572417685,19,-3.126896337509811
34,20,0.25,0.15,2.0,2.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.6469942485991478,59.25925925925925,8.028100508660954,27,-4.921501225864183
34,33,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.6466793051762685,42.857142857142854,2.8984316149651383,7,-2.1710177915156614
34,25,0.1,0.15,2.0,1.0,2.0,2.0,0.5,42,70,30,58,1.0,True,False,1.6362578564788193,55.55555555555556,2.803937894718038,9,-2.0832619171130915
34,28,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,True,1.6358367689519346,36.84210526315789,8.623704802331412,19,-3.1268963375098333
34,25,0.25,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,False,1.6355955558397937,56.25,5.044615919791686,16,-2.224850047641213
