rsi_dir,ema_slope,pb_pct,adx_thresh,tp,risk,n,wr,pf,ret,mdd,calmar
1,0,0.2,14,6.0,0.025,12,25.0,0.719,-6.36,-18.29,-0.35
1,1,0.2,20,7.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
1,1,0.2,20,8.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
1,1,0.2,20,6.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
1,1,0.2,20,9.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
0,0,0.5,14,8.0,0.02,19,21.1,0.806,-6.39,-17.31,-0.37
0,1,0.5,20,8.0,0.02,11,18.2,0.686,-6.47,-11.11,-0.58
1,1,0.5,14,9.0,0.025,16,18.8,0.8,-6.5,-19.97,-0.33
1,0,0.2,14,9.0,0.025,12,16.7,0.727,-6.5,-23.84,-0.27
1,0,0.2,14,9.0,0.03,12,16.7,0.754,-6.51,-26.45,-0.25
1,1,0.3,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
0,1,0.3,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
0,1,0.4,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
1,1,0.4,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
1,1,0.5,20,7.0,0.025,10,20.0,0.689,-6.71,-11.36,-0.59
0,1,0.5,17,8.0,0.02,15,20.0,0.754,-6.74,-11.37,-0.59
1,1,0.5,17,6.0,0.03,14,28.6,0.768,-6.81,-15.04,-0.45
0,1,0.5,20,8.0,0.025,11,18.2,0.712,-6.88,-12.53,-0.55
1,1,0.5,14,7.0,0.03,16,25.0,0.795,-6.97,-17.77,-0.39
1,1,0.3,14,6.0,0.02,13,23.1,0.671,-7.05,-14.61,-0.48
0,1,0.4,14,6.0,0.02,13,23.1,0.671,-7.05,-14.61,-0.48
0,1,0.3,14,6.0,0.02,13,23.1,0.671,-7.05,-14.61,-0.48
1,1,0.4,14,6.0,0.02,13,23.1,0.671,-7.05,-14.61,-0.48
0,1,0.5,20,8.0,0.03,11,18.2,0.724,-7.06,-13.7,-0.52
0,1,0.2,17,6.0,0.025,8,25.0,0.556,-7.1,-11.24,-0.63
1,1,0.5,17,8.0,0.03,14,21.4,0.78,-7.12,-13.76,-0.52
0,0,0.2,14,7.0,0.03,13,23.1,0.746,-7.15,-22.98,-0.31
1,1,0.2,20,9.0,0.025,3,0.0,0.0,-7.15,-7.15,-1.0
1,1,0.2,20,7.0,0.025,3,0.0,0.0,-7.15,-7.15,-1.0
1,1,0.2,20,6.0,0.025,3,0.0,0.0,-7.15,-7.15,-1.0
1,1,0.2,20,8.0,0.025,3,0.0,0.0,-7.15,-7.15,-1.0
1,1,0.2,17,8.0,0.02,7,14.3,0.476,-7.17,-7.17,-1.0
1,1,0.5,20,7.0,0.03,10,20.0,0.693,-7.18,-12.64,-0.57
0,1,0.5,14,9.0,0.02,17,17.6,0.757,-7.27,-19.45,-0.37
0,1,0.5,14,7.0,0.025,17,23.5,0.778,-7.29,-17.28,-0.42
0,0,0.2,14,6.0,0.02,13,23.1,0.658,-7.3,-16.93,-0.43
0,1,0.2,17,7.0,0.03,8,25.0,0.589,-7.32,-12.18,-0.6
1,0,0.5,14,8.0,0.03,18,22.2,0.817,-7.39,-22.54,-0.33
1,0,0.2,14,6.0,0.03,12,25.0,0.708,-7.41,-21.09,-0.35
0,1,0.5,17,6.0,0.025,15,26.7,0.741,-7.43,-14.99,-0.5
1,0,0.5,14,7.0,0.02,18,22.2,0.754,-7.54,-16.79,-0.45
1,1,0.4,14,7.0,0.03,13,23.1,0.719,-7.6,-18.33,-0.41
1,1,0.3,14,7.0,0.03,13,23.1,0.719,-7.6,-18.33,-0.41
0,1,0.3,14,7.0,0.03,13,23.1,0.719,-7.6,-18.33,-0.41
0,1,0.4,14,7.0,0.03,13,23.1,0.719,-7.6,-18.33,-0.41
1,1,0.2,20,7.0,0.03,3,0.0,0.0,-7.7,-7.7,-1.0
1,1,0.2,20,9.0,0.03,3,0.0,0.0,-7.7,-7.7,-1.0
