rsi_dir,ema_slope,trade_mode,adx_thresh,sl,tp,risk,n,wr,pf,ret,mdd,calmar
0,0,shorts,14,1.5,10.0,0.02,27,22.2,0.995,-0.19,-4.5,-0.04
0,0,longs,20,1.5,6.0,0.025,9,33.3,0.98,-0.2,-4.32,-0.05
0,0,longs,20,1.5,6.0,0.02,9,33.3,0.98,-0.2,-4.32,-0.05
0,1,longs,20,1.5,8.0,0.025,8,25.0,0.98,-0.2,-4.42,-0.05
0,1,longs,20,1.5,8.0,0.02,8,25.0,0.98,-0.2,-4.42,-0.05
0,0,shorts,17,2.0,10.0,0.02,20,25.0,0.993,-0.23,-4.0,-0.06
1,1,shorts,20,1.5,10.0,0.025,15,26.7,0.988,-0.29,-3.31,-0.09
1,0,shorts,20,1.5,10.0,0.025,15,26.7,0.986,-0.33,-3.31,-0.1
1,1,shorts,20,2.0,10.0,0.02,15,26.7,0.985,-0.37,-4.49,-0.08
1,0,shorts,17,1.5,10.0,0.025,20,25.0,0.988,-0.4,-0.51,-0.78
1,1,shorts,17,2.0,8.0,0.025,19,31.6,0.987,-0.42,-0.42,-1.0
1,0,shorts,20,2.0,10.0,0.02,15,26.7,0.981,-0.46,-4.49,-0.1
1,0,shorts,14,1.5,7.0,0.02,26,30.8,0.987,-0.49,-0.49,-1.0
0,0,shorts,14,2.0,8.0,0.02,25,28.0,0.987,-0.49,-4.35,-0.11
0,0,longs,20,2.0,7.0,0.02,9,33.3,0.959,-0.5,-5.37,-0.09
0,0,longs,20,2.0,7.0,0.025,9,33.3,0.959,-0.5,-5.37,-0.09
1,1,shorts,14,1.5,7.0,0.025,23,30.4,0.983,-0.56,-1.35,-0.41
0,0,shorts,17,1.5,8.0,0.02,22,27.3,0.982,-0.57,-0.57,-1.0
1,1,shorts,20,2.0,8.0,0.025,15,33.3,0.977,-0.59,-0.59,-1.0
0,1,shorts,17,1.5,10.0,0.025,21,23.8,0.981,-0.62,-0.62,-1.0
0,1,shorts,17,2.0,10.0,0.025,19,26.3,0.981,-0.63,-2.64,-0.24
1,0,shorts,20,2.0,8.0,0.025,15,33.3,0.974,-0.67,-0.67,-1.0
