risk_pct,sl_mult,trail_dist,trail_act,di_align,vol_mult,n,wr,pf,ret,mdd,calmar
0.04,1.2,0.2,2.0,True,1.0,59,52.5,1.732,41.56,-12.1,3.44
0.04,1.2,0.2,2.0,True,1.2,53,50.9,1.577,27.36,-10.56,2.59
0.04,1.2,0.2,2.5,False,1.0,59,47.5,1.702,44.05,-11.58,3.8
0.04,1.2,0.2,2.5,False,1.2,51,45.1,1.522,26.34,-10.03,2.63
0.04,1.2,0.2,2.5,True,1.0,57,47.4,1.687,41.28,-11.58,3.56
0.04,1.2,0.2,2.5,True,1.2,51,45.1,1.522,26.34,-10.03,2.63
0.04,1.2,0.2,3.0,False,1.0,58,43.1,1.852,68.86,-12.19,5.65
0.04,1.2,0.2,3.0,False,1.2,51,43.1,1.608,33.08,-10.03,3.3
0.04,1.2,0.2,3.0,True,1.0,56,42.9,1.838,64.61,-12.19,5.3
0.04,1.2,0.2,3.0,True,1.2,51,43.1,1.608,33.08,-10.03,3.3
0.04,1.2,0.2,3.5,False,1.0,56,37.5,1.768,62.84,-11.06,5.68
0.04,1.2,0.2,3.5,False,1.2,48,33.3,1.144,7.67,-17.68,0.43
0.04,1.2,0.2,3.5,True,1.0,54,37.0,1.744,57.79,-11.06,5.22
0.04,1.2,0.2,3.5,True,1.2,48,33.3,1.144,7.67,-17.68,0.43
0.04,1.2,0.3,2.0,False,1.0,61,52.5,1.704,41.56,-12.21,3.4
0.04,1.2,0.3,2.0,False,1.2,53,50.9,1.548,25.94,-10.67,2.43
0.04,1.2,0.3,2.0,True,1.0,59,52.5,1.692,39.04,-12.21,3.2
0.04,1.2,0.3,2.0,True,1.2,53,50.9,1.548,25.94,-10.67,2.43
0.04,1.2,0.3,2.5,False,1.0,59,47.5,1.644,39.74,-11.69,3.4
0.04,1.2,0.3,2.5,False,1.2,51,45.1,1.472,23.57,-10.15,2.32
0.04,1.2,0.3,2.5,True,1.0,57,47.4,1.63,37.25,-11.69,3.19
0.04,1.2,0.3,2.5,True,1.2,51,45.1,1.472,23.57,-10.15,2.32
0.04,1.2,0.3,3.0,False,1.0,58,43.1,1.809,64.4,-12.52,5.14
0.04,1.2,0.3,3.0,False,1.2,51,43.1,1.563,30.3,-10.15,2.99
0.04,1.2,0.3,3.0,True,1.0,56,42.9,1.796,60.5,-12.52,4.83
0.04,1.2,0.3,3.0,True,1.2,51,43.1,1.563,30.3,-10.15,2.99
0.04,1.2,0.3,3.5,False,1.0,56,37.5,1.732,59.16,-11.18,5.29
0.04,1.2,0.3,3.5,False,1.2,48,33.3,1.115,6.06,-18.35,0.33
0.04,1.2,0.3,3.5,True,1.0,54,37.0,1.708,54.44,-11.18,4.87
0.04,1.2,0.3,3.5,True,1.2,48,33.3,1.115,6.06,-18.35,0.33
0.04,1.5,0.1,2.0,False,1.0,61,52.5,1.54,36.07,-14.13,2.55
0.04,1.5,0.1,2.0,False,1.2,53,50.9,1.407,21.9,-12.61,1.74
0.04,1.5,0.1,2.0,True,1.0,59,52.5,1.527,33.56,-14.13,2.37
0.04,1.5,0.1,2.0,True,1.2,53,50.9,1.407,21.9,-12.61,1.74
0.04,1.5,0.1,2.5,False,1.0,59,49.2,1.634,45.68,-13.63,3.35
0.04,1.5,0.1,2.5,False,1.2,51,47.1,1.51,29.72,-12.1,2.46
0.04,1.5,0.1,2.5,True,1.0,57,49.1,1.624,42.99,-13.63,3.15
0.04,1.5,0.1,2.5,True,1.2,51,47.1,1.51,29.72,-12.1,2.46
0.04,1.5,0.1,3.0,False,1.0,57,45.6,1.75,66.3,-15.27,4.34
0.04,1.5,0.1,3.0,False,1.2,50,46.0,1.623,38.48,-11.86,3.24
0.04,1.5,0.1,3.0,True,1.0,55,45.5,1.74,62.25,-15.27,4.08
0.04,1.5,0.1,3.0,True,1.2,50,46.0,1.623,38.48,-11.86,3.24
0.04,1.5,0.1,3.5,False,1.0,55,40.0,1.659,58.69,-13.12,4.47
0.04,1.5,0.1,3.5,False,1.2,47,36.2,1.167,10.05,-19.76,0.51
0.04,1.5,0.1,3.5,True,1.0,53,39.6,1.638,53.89,-13.12,4.11
0.04,1.5,0.1,3.5,True,1.2,47,36.2,1.167,10.05,-19.76,0.51
0.04,1.5,0.2,2.0,False,1.0,61,52.5,1.482,31.52,-14.24,2.21
0.04,1.5,0.2,2.0,False,1.2,53,50.9,1.353,18.74,-12.94,1.45
0.04,1.5,0.2,2.0,True,1.0,59,52.5,1.468,29.28,-14.24,2.06
0.04,1.5,0.2,2.0,True,1.2,53,50.9,1.353,18.74,-12.94,1.45
0.04,1.5,0.2,2.5,False,1.0,59,49.2,1.582,41.17,-13.74,3.0
