tp,td,mb,trades,wr,pf,net,max_dd,calmar
3.5,0.3,15,48,47.91666666666667,1.1116004411273428,6.779409787405457,-12.576417188549428,0.5390573233828448
3.5,0.3,20,47,48.93617021276596,1.055245270350031,3.5325179365252737,-17.28814457408774,0.204331813711228
3.5,0.3,25,47,44.680851063829785,1.1052397015400977,7.054125835300892,-15.69989124057348,0.4493104905765718
3.5,0.3,30,47,46.808510638297875,1.1203015235411824,8.290741717279998,-13.941931422163298,0.594662351021202
3.5,0.4,15,48,47.91666666666667,1.1116004411273428,6.779409787405457,-12.576417188549428,0.5390573233828448
3.5,0.4,20,47,48.93617021276596,1.055245270350031,3.5325179365252737,-17.28814457408774,0.204331813711228
3.5,0.4,25,47,44.680851063829785,1.1052397015400977,7.054125835300892,-15.69989124057348,0.4493104905765718
3.5,0.4,30,47,46.808510638297875,1.1203015235411824,8.290741717279998,-13.941931422163298,0.594662351021202
4.0,0.1,15,48,47.91666666666667,1.2027625448555206,12.707585883799494,-12.558255152109146,1.0118910413812756
4.0,0.1,20,47,48.93617021276596,1.1503542611110875,9.9374356625783,-16.527874501063188,0.6012530928849354
4.0,0.1,25,47,44.680851063829785,1.2114410791033308,14.768835707784675,-15.041225509605608,0.9818904515694562
4.0,0.1,30,47,46.808510638297875,1.2239707246701559,16.094566630204625,-13.26953014677155,1.2128964968756186
4.0,0.2,15,48,47.91666666666667,1.1907068532586724,11.906405706360456,-12.558255152109144,0.9480939479367713
4.0,0.2,20,47,48.93617021276596,1.1390410235103574,9.155947056282129,-16.52787450106316,0.5539700253467662
4.0,0.2,25,47,44.680851063829785,1.1970254597113676,13.698869309177736,-15.04122550960562,0.9107548650493519
4.0,0.2,30,47,46.808510638297875,1.2098938279974134,15.01224071316361,-13.269530146771514,1.131331746272576
4.0,0.3,15,48,47.91666666666667,1.1786317333177325,11.109976575187066,-12.558255152109151,0.8846751750637231
4.0,0.3,20,47,48.93617021276596,1.1277126795845234,8.379092724059593,-16.527874501063156,0.5069673492208939
4.0,0.3,25,47,44.680851063829785,1.1825981708613802,12.63763815258968,-15.041225509605649,0.8402000318736671
4.0,0.3,30,47,46.808510638297875,1.1958026180465184,13.938750941670023,-13.269530146771494,1.0504328930637647
4.0,0.4,15,48,47.91666666666667,1.1665372352165682,10.318275927071372,-12.558255152109135,0.8216329260787824
4.0,0.4,20,47,48.93617021276596,1.116369270004544,7.60685065726575,-16.52787450106319,0.46024373289961895
4.0,0.4,25,47,44.680851063829785,1.1681592712915727,11.585081062298723,-15.04122550960562,0.7702218848391219
4.0,0.4,30,47,46.808510638297875,1.1816971537597898,12.874035433341453,-13.269530146771514,0.9701952737545658
4.5,0.1,15,48,47.91666666666667,1.2453082678437093,15.609020480288056,-12.558255152109158,1.242929076629449
4.5,0.1,20,47,48.93617021276596,1.1998607119111793,13.441473911246812,-16.402889534249148,0.8194576865972965
4.5,0.1,25,47,44.680851063829785,1.2629274785635747,18.74117910205623,-14.943882774263928,1.2541037282714727
4.5,0.1,30,47,46.808510638297875,1.274187155982017,20.11279581254565,-13.170157466037526,1.5271492284288486
4.5,0.2,15,48,47.91666666666667,1.2244882948520432,14.1818218530211,-12.558255152109133,1.1292828248229447
4.5,0.2,20,47,48.93617021276596,1.1803056180224538,12.041033745170916,-16.55531257117383,0.7273214379616612
4.5,0.2,25,47,44.680851063829785,1.2389054627962122,16.874078175207995,-15.036943306452505,1.1221747552886734
4.5,0.2,30,47,46.808510638297875,1.2507584349455922,18.224127415584643,-13.26515864431398,1.3738341096581075
4.5,0.3,15,48,47.91666666666667,1.2036077608994213,12.770635915858419,-12.558255152109155,1.0169116458597829
4.5,0.3,20,47,48.93617021276596,1.1606988932398639,10.656306048236166,-16.707602071006512,0.637811817814871
4.5,0.3,25,47,44.680851063829785,1.2148071388027046,15.034244309823153,-15.130003838641088,0.9936708853587088
4.5,0.3,30,47,46.808510638297875,1.2272484917264508,16.363041050491063,-13.360159822590356,1.2247638701764039
4.5,0.4,15,48,47.91666666666667,1.1826668741452153,11.375301037503068,-12.55825515210915,0.9058026692181512
4.5,0.4,20,47,48.93617021276596,1.141040647732579,9.287132219560846,-16.859758033747323,0.5508461154051716
4.5,0.4,25,47,44.680851063829785,1.1906324215927149,13.221309871180093,-15.311775505692133,0.8634733356863212
4.5,0.4,30,47,46.808510638297875,1.2036572250852744,14.529164835878838,-13.545722081272945,1.0726017224261162
5.0,0.1,15,48,47.91666666666667,1.2671582731128934,17.099809153338104,-12.55825515210914,1.3616389336114274
5.0,0.1,20,47,48.93617021276596,1.2268033393231412,15.363780078242925,-16.402889534249155,0.9366508288776454
5.0,0.1,25,47,44.680851063829785,1.28898230285051,20.753290660504845,-14.943882774263928,1.388748223871628
5.0,0.1,30,47,46.808510638297875,1.2996167991502459,22.14814990452651,-13.170157466037532,1.6816921104884983
