adx,pb_pct,vol_mult,min_body,tp_mult,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
16,0.28,0.6,0.15,8.0,0.3,30,2.5,10,40.0,1.003,0.03,10003.46,-8.78,0.004
16,0.28,0.6,0.15,8.0,0.4,20,2.5,10,70.0,2.751,8.1,10809.91,-3.62,2.236
16,0.28,0.6,0.15,8.0,0.4,25,2.5,10,50.0,1.599,4.47,10447.43,-4.5,0.995
16,0.28,0.6,0.15,8.0,0.4,30,2.5,10,40.0,0.982,-0.21,9979.34,-8.78,-0.024
16,0.28,0.6,0.15,9.0,0.2,20,1.5,10,70.0,3.053,8.85,10884.78,-3.42,2.585
16,0.28,0.6,0.15,9.0,0.2,25,1.5,10,50.0,1.723,5.15,10515.08,-4.34,1.186
16,0.28,0.6,0.15,9.0,0.2,30,1.5,10,40.0,1.119,1.24,10124.46,-7.9,0.158
16,0.28,0.6,0.15,9.0,0.3,20,1.5,10,70.0,2.996,8.59,10858.56,-3.42,2.509
16,0.28,0.6,0.15,9.0,0.3,25,1.5,10,50.0,1.689,4.9,10489.75,-4.34,1.128
16,0.28,0.6,0.15,9.0,0.3,30,1.5,10,40.0,1.096,1.0,10100.07,-7.9,0.127
16,0.28,0.6,0.15,9.0,0.4,20,1.5,10,70.0,2.939,8.32,10832.38,-3.42,2.432
16,0.28,0.6,0.15,9.0,0.4,25,1.5,10,50.0,1.655,4.64,10464.47,-4.34,1.069
16,0.28,0.6,0.15,9.0,0.4,30,1.5,10,40.0,1.073,0.76,10075.73,-7.9,0.096
16,0.28,0.6,0.15,9.0,0.2,20,2.0,10,70.0,2.849,8.59,10858.57,-3.65,2.349
16,0.28,0.6,0.15,9.0,0.2,25,2.0,10,50.0,1.655,4.91,10491.12,-4.56,1.077
16,0.28,0.6,0.15,9.0,0.2,30,2.0,10,40.0,1.03,0.34,10033.92,-8.72,0.039
16,0.28,0.6,0.15,9.0,0.3,20,2.0,10,70.0,2.796,8.32,10832.41,-3.65,2.278
16,0.28,0.6,0.15,9.0,0.3,25,2.0,10,50.0,1.622,4.66,10465.85,-4.56,1.021
16,0.28,0.6,0.15,9.0,0.3,30,2.0,10,40.0,1.009,0.1,10009.75,-8.72,0.011
16,0.28,0.6,0.15,9.0,0.4,20,2.0,10,70.0,2.743,8.06,10806.3,-3.65,2.206
16,0.28,0.6,0.15,9.0,0.4,25,2.0,10,50.0,1.59,4.41,10440.62,-4.56,0.966
16,0.28,0.6,0.15,9.0,0.4,30,2.0,10,40.0,0.987,-0.14,9985.62,-8.72,-0.016
16,0.28,0.6,0.15,9.0,0.2,20,2.5,10,70.0,2.856,8.62,10862.19,-3.62,2.38
16,0.28,0.6,0.15,9.0,0.2,25,2.5,10,50.0,1.664,4.98,10497.96,-4.5,1.107
16,0.28,0.6,0.15,9.0,0.2,30,2.5,10,40.0,1.024,0.28,10027.61,-8.78,0.031
16,0.28,0.6,0.15,9.0,0.3,20,2.5,10,70.0,2.804,8.36,10836.03,-3.62,2.308
16,0.28,0.6,0.15,9.0,0.3,25,2.5,10,50.0,1.631,4.73,10472.67,-4.5,1.051
16,0.28,0.6,0.15,9.0,0.3,30,2.5,10,40.0,1.003,0.03,10003.46,-8.78,0.004
16,0.28,0.6,0.15,9.0,0.4,20,2.5,10,70.0,2.751,8.1,10809.91,-3.62,2.236
