trail_act,trail_dist,tp_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
2.0,0.3,5.0,25,11,90.9,68.111,10.34,11033.68,-0.15,67.454
2.0,0.3,5.0,30,11,90.9,35.634,10.89,11088.68,-0.31,34.811
2.0,0.3,5.0,0,11,90.9,8.408,9.77,10977.44,-1.31,7.446
2.0,0.3,5.5,18,11,63.6,6.268,7.07,10707.22,-0.71,10.024
2.0,0.3,5.5,22,11,72.7,11.868,9.25,10925.02,-0.53,17.562
2.0,0.3,5.5,25,11,90.9,71.617,10.88,11087.67,-0.15,70.977
2.0,0.3,5.5,30,11,90.9,37.36,11.43,11142.94,-0.31,36.546
2.0,0.3,5.5,0,11,90.9,8.815,10.31,11031.16,-1.31,7.855
2.0,0.3,6.0,18,11,63.6,6.647,7.59,10759.48,-0.71,10.765
2.0,0.3,6.0,22,11,72.7,12.495,9.78,10978.35,-0.53,18.575
2.0,0.3,6.0,25,11,90.9,75.13,11.42,11141.79,-0.15,74.509
2.0,0.3,6.0,30,11,90.9,39.09,11.97,11197.32,-0.31,38.285
2.0,0.3,6.0,0,11,90.9,9.223,10.85,11085.0,-1.31,8.265
2.0,0.4,4.0,18,11,63.6,4.936,5.25,10525.01,-0.71,7.442
2.0,0.4,4.0,22,11,72.7,9.631,7.34,10733.81,-0.53,13.932
2.0,0.4,4.0,25,11,90.9,58.694,8.88,10888.18,-0.15,57.96
2.0,0.4,4.0,30,11,90.9,30.825,9.37,10937.05,-0.31,29.962
2.0,0.4,4.0,0,11,90.9,7.273,8.27,10827.33,-1.31,6.302
2.0,0.4,4.5,18,11,63.6,5.317,5.77,10576.76,-0.71,8.175
2.0,0.4,4.5,22,11,72.7,10.252,7.87,10786.59,-0.53,14.934
2.0,0.4,4.5,25,11,90.9,62.171,9.42,10941.72,-0.15,61.453
2.0,0.4,4.5,30,11,90.9,32.536,9.91,10990.83,-0.31,31.682
2.0,0.4,4.5,0,11,90.9,7.677,8.81,10880.57,-1.31,6.708
2.0,0.4,5.0,18,11,63.6,5.697,6.29,10628.64,-0.71,8.911
2.0,0.4,5.0,22,11,72.7,10.875,8.4,10839.5,-0.53,15.939
2.0,0.4,5.0,25,11,90.9,65.658,9.95,10995.39,-0.15,64.956
2.0,0.4,5.0,30,11,90.9,34.252,10.45,11044.74,-0.31,33.406
2.0,0.4,5.0,0,11,90.9,8.082,9.34,10933.94,-1.31,7.114
2.0,0.4,5.5,18,11,63.6,6.077,6.81,10680.64,-0.71,9.648
2.0,0.4,5.5,22,11,72.7,11.498,8.93,10892.54,-0.53,16.946
2.0,0.4,5.5,25,11,90.9,69.152,10.49,11049.19,-0.15,68.466
2.0,0.4,5.5,30,11,90.9,35.972,10.99,11098.78,-0.31,35.134
2.0,0.4,5.5,0,11,90.9,8.487,9.87,10987.44,-1.31,7.522
2.0,0.4,6.0,18,11,63.6,6.457,7.33,10732.78,-0.71,10.387
2.0,0.4,6.0,22,11,72.7,12.124,9.46,10945.71,-0.53,17.955
2.0,0.4,6.0,25,11,90.9,72.656,11.03,11103.12,-0.15,71.986
2.0,0.4,6.0,30,11,90.9,37.697,11.53,11152.95,-0.31,36.866
2.0,0.4,6.0,0,11,90.9,8.894,10.41,11041.07,-1.31,7.931
2.0,0.5,4.0,18,11,63.6,4.746,4.99,10498.87,-0.71,7.071
2.0,0.5,4.0,22,11,72.7,9.265,7.02,10701.88,-0.53,13.326
2.0,0.5,4.0,25,11,90.9,56.265,8.5,10850.38,-0.15,55.493
2.0,0.5,4.0,30,11,90.9,29.459,8.94,10893.68,-0.31,28.576
2.0,0.5,4.0,0,11,90.9,6.951,7.84,10784.4,-1.31,5.975
2.0,0.5,4.5,18,11,63.6,5.127,5.5,10550.49,-0.71,7.803
2.0,0.5,4.5,22,11,72.7,9.885,7.55,10754.51,-0.53,14.325
2.0,0.5,4.5,25,11,90.9,59.733,9.04,10903.73,-0.15,58.974
2.0,0.5,4.5,30,11,90.9,31.164,9.47,10947.25,-0.31,30.288
2.0,0.5,4.5,0,11,90.9,7.353,8.37,10837.43,-1.31,6.379
2.0,0.5,5.0,18,11,63.6,5.507,6.02,10602.24,-0.71,8.536
2.0,0.5,5.0,22,11,72.7,10.506,8.07,10807.26,-0.53,15.326
2.0,0.5,5.0,25,11,90.9,63.209,9.57,10957.21,-0.15,62.464
2.0,0.5,5.0,30,11,90.9,32.874,10.01,11000.94,-0.31,32.005
2.0,0.5,5.0,0,11,90.9,7.756,8.91,10890.59,-1.31,6.784
2.0,0.5,5.5,18,11,63.6,5.887,6.54,10654.12,-0.71,9.272
2.0,0.5,5.5,22,11,72.7,11.129,8.6,10860.14,-0.53,16.33
2.0,0.5,5.5,25,11,90.9,66.693,10.11,11010.83,-0.15,65.963
2.0,0.5,5.5,30,11,90.9,34.588,10.55,11054.77,-0.31,33.727
2.0,0.5,5.5,0,11,90.9,8.161,9.44,10943.88,-1.31,7.19
2.0,0.5,6.0,18,11,63.6,6.267,7.06,10706.12,-0.71,10.009
2.0,0.5,6.0,22,11,72.7,11.753,9.13,10913.15,-0.53,17.337
2.0,0.5,6.0,25,11,90.9,70.186,10.65,11064.57,-0.15,69.47
2.0,0.5,6.0,30,11,90.9,36.307,11.09,11108.73,-0.31,35.452
2.0,0.5,6.0,0,11,90.9,8.566,9.97,10997.3,-1.31,7.597
2.0,0.6,4.0,18,11,63.6,4.556,4.73,10472.78,-0.71,6.701
2.0,0.6,4.0,22,11,72.7,8.899,6.7,10670.03,-0.53,12.721
2.0,0.6,4.0,25,11,90.9,53.842,8.13,10812.68,-0.15,53.033
2.0,0.6,4.0,30,11,90.9,28.096,8.5,10850.47,-0.31,27.194
2.0,0.6,4.0,0,11,90.9,6.629,7.42,10741.62,-1.31,5.649
2.0,0.6,4.5,18,11,63.6,4.936,5.24,10524.28,-0.71,7.431
2.0,0.6,4.5,22,11,72.7,9.517,7.22,10722.5,-0.53,13.717
2.0,0.6,4.5,25,11,90.9,57.299,8.66,10865.85,-0.15,56.502
