adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
35,1.2,0.7,4.0,2.0,11,9,2,0,9,2,81.8,9.28,-1.36,6.8
35,1.0,0.5,2.0,3.0,12,8,4,7,1,4,66.7,9.28,-2.47,3.77
35,1.0,0.7,3.0,3.0,11,6,5,0,6,5,54.5,9.27,-2.47,3.76
35,1.0,0.7,4.0,3.0,11,6,5,0,6,5,54.5,9.27,-2.47,3.76
30,1.2,0.7,2.0,3.0,19,12,7,10,2,7,63.2,9.24,-3.49,2.65
35,0.8,0.3,2.0,3.0,12,7,5,6,1,5,58.3,9.22,-2.58,3.57
33,1.2,0.5,4.0,3.0,13,7,6,0,7,6,53.8,9.19,-3.48,2.64
33,1.2,1.0,2.0,2.0,13,10,3,5,5,3,76.9,9.19,-2.33,3.95
33,1.2,0.5,3.0,3.0,13,7,6,0,7,6,53.8,9.19,-3.48,2.64
28,1.5,1.0,2.0,3.0,26,17,9,13,4,9,65.4,9.15,-3.54,2.59
35,1.0,0.3,3.0,2.0,12,8,4,0,8,4,66.7,9.15,-2.47,3.71
35,1.0,0.3,4.0,2.0,12,8,4,0,8,4,66.7,9.15,-2.47,3.71
35,1.0,0.3,2.0,2.0,12,8,4,0,8,4,66.7,9.15,-2.47,3.71
35,1.1,0.5,3.0,3.0,11,6,5,0,6,5,54.5,9.08,-2.42,3.75
35,1.1,0.5,4.0,3.0,11,6,5,0,6,5,54.5,9.08,-2.42,3.75
35,1.0,0.7,2.0,3.0,12,8,4,7,1,4,66.7,9.07,-2.47,3.68
33,1.5,0.5,2.0,2.0,13,11,2,0,11,2,84.6,9.06,-2.26,4.01
33,1.5,0.5,3.0,2.0,13,11,2,0,11,2,84.6,9.06,-2.26,4.01
30,1.5,0.2,2.0,3.0,19,13,6,11,2,6,68.4,9.06,-3.47,2.61
33,1.5,0.5,4.0,2.0,13,11,2,0,11,2,84.6,9.06,-2.26,4.01
35,1.5,0.7,4.0,2.0,11,10,1,0,10,1,90.9,8.97,-1.18,7.61
33,0.9,0.5,4.0,2.0,14,9,5,0,9,5,64.3,8.97,-3.64,2.46
33,1.2,0.7,3.0,2.0,13,10,3,0,10,3,76.9,8.97,-2.33,3.86
33,1.2,0.7,4.0,2.0,13,10,3,0,10,3,76.9,8.97,-2.33,3.86
33,0.9,0.5,3.0,2.0,14,9,5,0,9,5,64.3,8.97,-3.64,2.46
33,0.9,0.5,2.0,2.0,14,9,5,0,9,5,64.3,8.97,-3.64,2.46
35,1.5,0.7,3.0,2.0,11,10,1,0,10,1,90.9,8.97,-1.18,7.61
35,0.8,0.5,2.0,3.0,12,7,5,6,1,5,58.3,8.95,-2.58,3.46
33,1.1,0.2,4.0,2.0,14,9,5,0,9,5,64.3,8.93,-3.52,2.54
33,1.1,0.2,3.0,2.0,14,9,5,0,9,5,64.3,8.93,-3.52,2.54
33,1.1,0.2,2.0,2.0,14,9,5,0,9,5,64.3,8.93,-3.52,2.54
30,1.5,0.3,2.0,3.0,19,13,6,11,2,6,68.4,8.92,-3.47,2.57
35,1.2,0.3,3.0,3.0,11,6,5,0,6,5,54.5,8.91,-2.39,3.73
35,1.2,0.3,4.0,3.0,11,6,5,0,6,5,54.5,8.91,-2.39,3.73
35,1.2,1.0,2.0,2.0,11,9,2,4,5,2,81.8,8.88,-1.36,6.51
35,0.9,1.0,4.0,3.0,11,6,5,0,6,5,54.5,8.81,-2.52,3.5
35,0.9,1.0,3.0,3.0,11,6,5,0,6,5,54.5,8.81,-2.52,3.5
35,0.9,0.5,2.0,2.0,12,8,4,0,8,4,66.7,8.77,-2.52,3.48
35,1.5,0.2,3.0,3.0,10,6,4,0,6,4,60.0,8.77,-2.31,3.8
35,0.9,0.5,3.0,2.0,12,8,4,0,8,4,66.7,8.77,-2.52,3.48
35,0.9,0.5,4.0,2.0,12,8,4,0,8,4,66.7,8.77,-2.52,3.48
35,1.5,0.2,4.0,3.0,10,6,4,0,6,4,60.0,8.77,-2.31,3.8
35,1.0,1.0,2.0,3.0,12,8,4,7,1,4,66.7,8.75,-2.47,3.55
33,1.1,0.2,2.0,3.0,14,9,5,8,1,5,64.3,8.74,-3.52,2.48
30,1.2,1.0,2.0,3.0,19,12,7,10,2,7,63.2,8.71,-3.49,2.5
35,0.8,0.7,2.0,3.0,12,7,5,6,1,5,58.3,8.69,-2.58,3.36
35,1.1,0.2,4.0,2.0,12,8,4,0,8,4,66.7,8.67,-2.42,3.58
35,0.8,0.3,3.0,2.0,12,7,5,0,7,5,58.3,8.67,-2.58,3.36
35,1.1,0.2,3.0,2.0,12,8,4,0,8,4,66.7,8.67,-2.42,3.58
35,1.1,0.2,2.0,2.0,12,8,4,0,8,4,66.7,8.67,-2.42,3.58
35,0.8,0.3,4.0,2.0,12,7,5,0,7,5,58.3,8.67,-2.58,3.36
35,0.8,0.3,2.0,2.0,12,7,5,0,7,5,58.3,8.67,-2.58,3.36
33,1.0,1.0,4.0,3.0,13,7,6,0,7,6,53.8,8.65,-3.58,2.42
33,1.0,1.0,3.0,3.0,13,7,6,0,7,6,53.8,8.65,-3.58,2.42
33,1.1,0.3,2.0,3.0,14,9,5,8,1,5,64.3,8.65,-3.52,2.46
30,1.5,0.5,2.0,3.0,19,13,6,11,2,6,68.4,8.64,-3.47,2.49
35,1.2,0.7,2.0,2.0,11,9,2,1,8,2,81.8,8.61,-1.36,6.31
30,1.5,0.3,3.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,0.3,4.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,0.3,2.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
35,0.9,0.7,3.0,2.0,12,8,4,0,8,4,66.7,8.57,-2.52,3.4
