preset,adx,pb_pct,vol_mult,atr_floor,sl_mult,tp_mult,trail_act,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
relaxed,15,0.4,0.5,0.0,2.5,8.0,3.0,0.1,25,2.5,23,60.9,2.173,23.44,12344.11,-5.64,4.155
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.1,0,2.5,23,60.9,1.966,23.43,12343.31,-6.8,3.444
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.3,25,2.5,23,56.5,2.166,23.43,12342.75,-8.0,2.929
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.5,25,2.5,23,56.5,2.161,23.39,12339.41,-8.0,2.925
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.1,20,1.5,23,65.2,2.613,23.38,12337.95,-5.96,3.925
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.4,20,2.5,23,65.2,2.351,23.38,12337.77,-6.28,3.724
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.5,0.1,0,2.5,23,56.5,1.885,23.37,12336.76,-5.97,3.914
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.1,0,2.0,23,56.5,2.024,23.3,12329.63,-9.48,2.457
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.5,20,2.0,23,65.2,2.406,23.28,12327.62,-6.31,3.689
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.2,20,2.5,23,65.2,2.341,23.27,12327.32,-6.28,3.707
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.5,25,2.5,23,60.9,2.167,23.27,12327.09,-5.64,4.125
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.5,0.1,0,2.5,23,52.2,1.915,23.19,12319.4,-9.48,2.446
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.1,25,2.0,23,56.5,2.197,23.16,12315.55,-8.06,2.874
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.2,0,2.5,23,60.9,1.956,23.13,12313.15,-6.88,3.364
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.1,25,2.5,23,56.5,2.146,23.1,12310.15,-8.0,2.888
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.2,20,2.5,23,60.9,2.21,23.1,12309.97,-6.28,3.679
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.2,20,2.5,23,60.9,2.21,23.1,12309.97,-6.28,3.679
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.5,20,2.5,23,65.2,2.309,23.1,12309.66,-5.96,3.875
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.4,25,2.5,23,56.5,2.151,23.08,12308.14,-8.0,2.886
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.2,25,2.0,23,56.5,2.195,23.07,12306.97,-8.06,2.863
