trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
162,37.0,0.362,-54.25,-54.69,-0.992,54,71,37,2.0,1.5,24
156,41.7,0.385,-54.65,-55.09,-0.992,63,93,0,2.0,1.5,0
157,40.8,0.376,-53.97,-54.42,-0.992,57,84,16,2.0,1.5,48
159,36.5,0.336,-57.03,-57.45,-0.993,54,81,24,2.0,1.5,36
160,31.2,0.32,-42.77,-43.05,-0.994,19,29,112,3.0,2.5,12
163,28.8,0.316,-51.54,-51.68,-0.997,14,42,107,3.5,2.0,12
170,27.6,0.316,-60.65,-60.8,-0.997,15,68,87,3.5,1.5,12
168,31.0,0.296,-51.97,-52.12,-0.997,27,41,100,2.5,2.0,12
164,29.3,0.301,-52.37,-52.51,-0.997,17,42,105,3.0,2.0,12
163,28.2,0.35,-50.27,-50.42,-0.997,4,52,107,5.0,2.0,12
163,28.2,0.352,-50.04,-50.2,-0.997,1,55,107,6.0,2.0,12
163,28.2,0.329,-51.45,-51.6,-0.997,12,44,107,4.0,2.0,12
170,27.1,0.334,-60.07,-60.22,-0.997,13,70,87,4.0,1.5,12
176,29.5,0.293,-61.81,-61.96,-0.998,28,68,80,2.5,1.5,12
185,32.4,0.277,-62.57,-62.72,-0.998,41,68,76,2.0,1.5,12
138,32.6,0.465,-46.64,-46.74,-0.998,34,77,27,3.0,1.5,36
171,28.1,0.302,-61.55,-61.7,-0.998,18,68,85,3.0,1.5,12
137,32.1,0.423,-42.6,-42.6,-1.0,33,50,54,3.0,2.0,24
142,31.0,0.453,-47.02,-47.02,-1.0,34,68,40,3.0,1.5,24
142,33.8,0.386,-44.62,-44.62,-1.0,40,49,53,2.5,2.0,24
135,36.3,0.413,-42.94,-42.94,-1.0,41,61,33,2.5,2.0,36
149,32.2,0.404,-50.89,-50.89,-1.0,41,69,39,2.5,1.5,24
146,33.6,0.408,-51.4,-51.4,-1.0,41,79,26,2.5,1.5,36
129,34.9,0.461,-39.62,-39.62,-1.0,33,61,35,3.0,2.0,36
134,30.6,0.452,-40.72,-40.72,-1.0,23,54,57,3.5,2.0,24
