timestamp,symbol,version,total_trades,wins,losses,win_rate,net_return,max_drawdown,final_portfolio_value
2026-03-27T08:42:17.846999,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:20.242651,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:22.528762,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:24.853350,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:27.175452,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:29.423626,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:31.720648,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:34.101058,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:36.421242,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:38.724290,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:41.166896,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:43.407921,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:45.746152,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:48.008267,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:50.381585,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:52.687941,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:55.083290,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:57.323568,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:42:59.700106,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:02.192717,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:04.485257,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:06.789511,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:09.280810,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:11.538928,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:13.867087,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:16.156130,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:18.335920,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:20.708588,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:22.944030,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:25.317338,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:27.742528,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:30.116793,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:32.485325,CLM,v1,0,0,0,0.00,99.44,0.00,19943.62
2026-03-27T08:43:34.811275,CLM,v1,0,0,0,0.00,99.83,0.00,19982.98
2026-03-27T08:43:37.099368,CLM,v1,0,0,0,0.00,99.83,0.00,19982.98
2026-03-27T08:43:39.395021,CLM,v1,0,0,0,0.00,99.83,0.00,19982.98
2026-03-27T08:43:41.535918,CLM,v1,0,0,0,0.00,99.83,0.00,19982.98
2026-03-27T08:43:43.911492,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:43:46.189042,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:43:48.394883,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:43:50.720139,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:43:53.038125,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:43:55.302898,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:43:57.377640,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:43:59.382083,CLM,v1,0,0,0,0.00,99.39,0.00,19938.90
2026-03-27T08:44:01.789847,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:04.238599,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:06.540019,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:08.804501,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:11.132857,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:13.487486,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:15.905510,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:18.350799,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:20.568110,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:22.961097,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:25.208321,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:27.270855,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:29.581212,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:32.064827,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:44:34.248419,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:36.540424,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:44:38.824429,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:44:41.168722,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:44:43.588610,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:44:45.958937,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:48.318293,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:50.586257,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:52.649030,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:44:54.956820,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:57.255771,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:44:59.659336,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:01.918500,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:04.288309,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:06.640032,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:09.114860,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:11.572516,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:13.859886,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:15.928401,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:18.188382,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:20.566323,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:22.879419,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:25.130248,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:27.970448,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:30.384523,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
