TP_MULT,SL_MULT,RISK_PCT,VOL_MULT,ADX_THRESH,Return,ProfitFactor,Trades
6.0,1.5,0.04,0.8,12,-12.187900666144213,0.8039276251333262,42
6.0,1.5,0.04,0.8,15,-12.187900666144213,0.8039276251333262,42
6.0,1.5,0.04,1.0,10,7.972929585943955,1.171069457675704,33
6.0,1.5,0.04,1.0,12,6.6084849216716535,1.1434208127512178,32
6.0,1.5,0.04,1.0,15,6.6084849216716535,1.1434208127512178,32
6.0,1.5,0.05,0.8,10,-12.58865150799895,0.8086165718273159,43
6.0,1.5,0.05,0.8,12,-13.693261232900788,0.7898106575180556,42
6.0,1.5,0.05,0.8,15,-13.693261232900788,0.7898106575180556,42
6.0,1.5,0.05,1.0,10,8.788816736064264,1.1817512542342037,33
6.0,1.5,0.05,1.0,12,7.414061775749103,1.1551000257307644,32
6.0,1.5,0.05,1.0,15,7.414061775749103,1.1551000257307644,32
6.0,2.0,0.03,0.8,10,-1.2376455385594842,0.9712411588114466,41
6.0,2.0,0.03,0.8,12,-1.9674776671734562,0.954037406361464,40
6.0,2.0,0.03,0.8,15,-1.9674776671734562,0.954037406361464,40
6.0,2.0,0.03,1.0,10,14.197163638710197,1.4626514504702381,33
6.0,2.0,0.03,1.0,12,13.35327165704776,1.437994056561071,32
6.0,2.0,0.03,1.0,15,13.35327165704776,1.437994056561071,32
6.0,2.0,0.04,0.8,10,-5.453416876812667,0.9002458458634238,41
6.0,2.0,0.04,0.8,12,-6.382699150735882,0.8824235948639535,40
6.0,2.0,0.04,0.8,15,-6.382699150735882,0.8824235948639535,40
6.0,2.0,0.04,1.0,10,14.42560554022303,1.3545539227613803,33
6.0,2.0,0.04,1.0,12,13.30093573832325,1.3297599361350292,32
6.0,2.0,0.04,1.0,15,13.30093573832325,1.3297599361350292,32
6.0,2.0,0.05,0.8,10,-11.991330863665661,0.8110820876710947,41
6.0,2.0,0.05,0.8,12,-13.069958240043999,0.792269694494156,40
6.0,2.0,0.05,0.8,15,-13.069958240043999,0.792269694494156,40
6.0,2.0,0.05,1.0,10,11.952385167715551,1.2505786357613673,33
6.0,2.0,0.05,1.0,12,10.58030547741029,1.224232315546974,32
6.0,2.0,0.05,1.0,15,10.58030547741029,1.224232315546974,32
8.0,1.5,0.03,0.8,10,-1.7587950983966372,0.9673484166256624,43
8.0,1.5,0.03,0.8,12,-2.724391180964425,0.9490269010136991,42
8.0,1.5,0.03,0.8,15,-2.724391180964425,0.9490269010136991,42
8.0,1.5,0.03,1.0,10,14.456512110428754,1.365626588633415,33
8.0,1.5,0.03,1.0,12,13.331538533110553,1.3401925584552454,32
8.0,1.5,0.03,1.0,15,13.331538533110553,1.3401925584552454,32
8.0,1.5,0.04,0.8,10,-8.832961900433833,0.8610114977978424,43
8.0,1.5,0.04,0.8,12,-9.985031953265612,0.8413425787630534,42
8.0,1.5,0.04,0.8,15,-9.985031953265612,0.8413425787630534,42
8.0,1.5,0.04,1.0,10,10.68155619010287,1.2258185908060752,33
8.0,1.5,0.04,1.0,12,9.282882843403083,1.1985196939303604,32
8.0,1.5,0.04,1.0,15,9.282882843403083,1.1985196939303604,32
8.0,1.5,0.05,0.8,10,-10.395836096406619,0.8438678515590384,43
8.0,1.5,0.05,0.8,12,-11.528156241869869,0.8251790989548263,42
8.0,1.5,0.05,0.8,15,-11.528156241869869,0.8251790989548263,42
8.0,1.5,0.05,1.0,10,11.517910818963252,1.234796116188189,33
8.0,1.5,0.05,1.0,12,10.108668530444675,1.2084536261053185,32
8.0,1.5,0.05,1.0,15,10.108668530444675,1.2084536261053185,32
8.0,2.0,0.03,0.8,10,1.239923068770854,1.028471769341698,41
8.0,2.0,0.03,0.8,12,0.4917822517873649,1.0113555565815595,40
8.0,2.0,0.03,0.8,15,0.4917822517873649,1.0113555565815595,40
8.0,2.0,0.03,1.0,10,17.061932398226777,1.5473744658462405,33
8.0,2.0,0.03,1.0,12,16.196870404031216,1.5230269956083702,32
8.0,2.0,0.03,1.0,15,16.196870404031216,1.5230269956083702,32
8.0,2.0,0.04,0.8,10,-3.081605800074827,0.9442872612950405,41
8.0,2.0,0.04,0.8,12,-4.034200201394911,0.9265506480075453,40
8.0,2.0,0.04,0.8,15,-4.034200201394911,0.9265506480075453,40
